product_key,product_id,isbn,title,author,publisher,publication_date,product_type,genre,sub_genre,language,page_count,duration_minutes,price,cost,in_stock,stock_quantity,bestseller_flag,new_release_flag,effective_date,expiry_date
15,PROD00000012,9780765326355,The Way of Kings,Brandon Sanderson,  HarperCollins,2010-01-23,PHYSICAL  ,Fantasy,Epic Fantasy  ,German,1007,,14.31,16.26,1,57,1,0,2014-12-16,2013-10-05
16,PROD00000012,9780765326355,The Way of Kings,Brandon Sanderson,HarperCollins,,Physical,Fantasy,Epic Fantasy,,1007,,13.05,14.82,1,281,1,0,2014-07-13,2013-02-18
17,PROD00000012,9780765326355,The Way of Kings,Brandon Sanderson,HarperCollins,2010-01-23,Physical,Fantasy,Epic Fantasy,German,1007,,11.99,13.62,1,119,1,0,2014-01-30,2012-12-30
18,PROD00000012,9780765326355,The Way Of Kings,Brandon Sanderson,HarperCollins,2010-01-23,physical,Fantasy,Epic Fantasy,German,1007,,11.09,12.6,1,192,1,0,2013-10-25,
19,PROD00000013,9781619636040,Queen of Shadows,Sarah J. Maas,Hachette,2015-01-09,Physical,Fantasy,Epic Fantasy,English,648,,17.96,11.18,1,466,1,0,2017-04-09,
20,PROD00000014,9781619636071,Empire of Storms,Sarah J. Maas,Simon & Schuster,2016-01-17,Audiobook,Fantasy,Dark Fantasy,Spanish,,1155,17.86,9.63,1,3,1,0,2018-03-10,
21,PROD00000015,9780007119554,A Storm of Swords: Part 2 Blood and Gold,George R.R. Martin,HarperCollins,2000-08-23,Physical  ,Fantasy,Dark Fantasy,French,639,,27.58,8.71,1,252,1,0,2001-08-13,
22,PROD00000016,,Crooked Kingdom,Leigh Bardugo,Simon & Schuster,2016-02-10,Physical,Fantasy,,Spanish,536,,38.24,11.99,1,160,1,0,2018-12-17,2018-08-14
23,PROD00000016,,Crooked Kingdom,Leigh Bardugo,Simon & Schuster,2016-02-10,Physical,Fantasy,Urban Fantasy,Spanish,536,,32.5,10.19,1,354,1,0,2018-11-24,
24,PROD00000017,9781607066927,SAGA VOLUME TWO,Brian K. Vaughan,HarperCollins,2013-02-07,PHYSICAL,Fiction  ,Historical Fiction,German,144,,14.42,11.41,1,410,1,0,2014-10-01,
25,PROD00000018,9780062498533,The Hate U Give,Angie Thomas,HarperCollins,2017-11-16,E-book,Fiction,Historical Fiction  ,Spanish,444,,34.32,11.43,1,228,1,0,2021-09-17,
26,PROD00000019,9781416997856,The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass,Cassandra Clare,Hachette,2009-08-05,Audiobook,Fiction,Literary Fiction  ,german,,243,36.23,8.88,1,75,1,0,2012-01-21,
27,PROD00000020,9780842377508,A Voice in the Wind,Francine Rivers,Hachette,1993-01-12,Physical,Fiction,Historical Fiction,French,520,,38.73,16.6,1,234,1,0,1995-09-26,1994-12-18
28,PROD00000020,9780842377508,A Voice In The Wind  ,Francine Rivers,Hachette,1993-01-12,Physical,Fiction,Historical Fiction,,520,,34.42,14.76,1,53,1,0,1995-05-30,1995-01-28
29,PROD00000020,9780842377508,A Voice in the Wind,FRANCINE RIVERS,Hachette,1993-01-12,Physical,Fiction,Historical Fiction,French,520,,30.98,13.28,1,414,1,0,1995-04-20,
30,PROD00000021,9780451464392,Skin Game,Jim Butcher,Penguin Random House,2014-09-06,Physical,Fantasy,Dark Fantasy,English,454,,25.83,3.64,1,26,1,0,2017-02-20,
31,PROD00000022,9781607069317,Saga Volume Three,BRIAN K. VAUGHAN,,2014-10-01,Audiobook,  Fiction,,English,,240,23.82,17.36,1,298,1,,2013-06-13,2015-02-26
32,PROD00000022,9781607069317,Saga Volume Three,Brian K. Vaughan,Penguin Random House,2014-10-01,Audiobook,Fiction  ,Literary Fiction,,,240,21.18,15.43,1,171,1,0,2015-02-26,2014-06-11
33,PROD00000022,9781607069317,Saga Volume Three,Brian K. Vaughan,penguin random house  ,2014-10-01,Audiobook,Fiction,Literary Fiction,English,,240,19.06,13.89,1,263,1,0,2014-10-20,
34,PROD00000023,9780312362157,Acheron  ,Sherrilyn Kenyon,Hachette,2025-07-30,Audiobook,Fantasy,Epic Fantasy,Spanish,,1213  ,36.3,9.99,1,288,1,0,2011-07-11,
35,PROD00000024,9781563892042,The Sandman: The Kindly Ones,Neil Gaiman,Hachette,1996-03-02,Physical,Fiction,LITERARY FICTION  ,French,731,,32.79,4.54,1,187,1,0,1998-05-15,1997-11-14
36,PROD00000024,9781563892042,The Sandman: The Kindly Ones,Neil Gaiman,HACHETTE,,Physical,Fiction,Literary Fiction,French,731,,29.14,4.03,1,203,1,0,1998-01-02,1997-07-21
37,PROD00000024,9781563892042,The Sandman: The Kindly Ones,Neil Gaiman  ,Hachette,1996-03-02,Physical,Fiction,Literary Fiction,French,731,,26.23,3.63,1,19,1,,1997-09-10,
38,PROD00000025,  9780812994520,Just Mercy: A Story of Justice and Redemption,BRYAN STEVENSON,Penguin Random House,2014-10-17,Physical,Fiction,Contemporary Fiction,Spanish,336,,36.82,9.96,1,276,1,0,2017-08-18,
39,PROD00000026,9780842313070  ,An Echo in the Darkness,Francine Rivers,HarperCollins,1994-03-15,Audiobook,Fiction,Contemporary Fiction,French  ,,768,12.09,7.32,1,475,1,0,1998-04-06,
40,PROD00000027,9780553499162,Gemina,Amie Kaufman,HarperCollins,2016-11-05,Physical,Fiction,Contemporary Fiction,English,659,,22.56,10.77,1,457,1,0,2018-02-22,
41,PROD00000028,9781250029881,Styxx,Sherrilyn Kenyon,Macmillan,2013-09-28,E-book,Fantasy,Dark Fantasy,English,836,,14.57,7.5,1,191,1,0,2014-05-29,
42,PROD00000029,9780140286809,Cuentos completos,Jorge Luis Borges,Hachette,1998-12-05,Physical,Fiction,Contemporary Fiction,German,565,,34.06,9.44,1,481,1,0,2002-11-18,
43,PROD00000030,9780425270691,Magic Binds,Ilona Andrews,Simon & Schuster,2016-11-22,Physical,Fantasy,Urban Fantasy,Spanish,  328,,39.46,8.23,1,92,1,0,2018-02-15,
44,PROD00000031,9780062289254,White hot,Ilona Andrews,Macmillan,2017-04-26,Physical,Fantasy,Dark Fantasy,Spanish,389,,19.61,10.65,1,496,1,0,2018-08-15,
45,PROD00000032,9781591169253,Gang no Lian Jin Shu Shi 3,Hiromu Arakawa,Hachette,2025-06-22,E-book,Fantasy  ,Dark Fantasy,German,192  ,,23.59,14.7,1,47,1,0,2003-04-07,
46,PROD00000033,  9780061582479,Bluestar's Prophecy,Erin Hunter,Hachette,2009-11-19,Audiobook,Fantasy,URBAN FANTASY,English,,860,38.17,11.54,1,94,1,0,2012-07-11,2011-07-17
47,PROD00000033,9780061582479,Bluestar's Prophecy,Erin Hunter,Hachette,2009-11-19,audiobook,Fantasy,Urban Fantasy,English,,860,33.93,10.26,1,233,1,0,2012-06-30,2011-07-21
48,PROD00000033,9780061582479,Bluestar's Prophecy,Erin Hunter,Hachette,2009-11-19,Audiobook,Fantasy,Urban Fantasy,English,,860,30.54,9.23,1,223,1,0,2012-03-18,
49,PROD00000034,9780062289278,Wildfire  ,Ilona Andrews,Hachette,2017-12-12,Audiobook,Fantasy,Dark Fantasy,English,,651,16.85,12.69,1,246,1,0,2019-01-14,
50,PROD00000035,9789792767414,Hei Zhi Shi VI  ,Yana Toboso,Hachette,2009-08-11,Physical,Fantasy,Epic Fantasy,German,158,,25.63,6.28,1,324,1,0,2012-03-19,
51,PROD00000036,9781937551421,Stars & Stripes,Abigail Roux,,2012-12-02,e-book,romance,,Spanish,292,,42.02,9.38,1,188,1,0,2015-05-03,2015-01-21
52,PROD00000036,9781937551421,Stars & Stripes,Abigail Roux,Macmillan,2012-12-02,E-book  ,Romance,Contemporary Romance,Spanish,292,,37.36,8.33,1,182,1,0,2015-03-17,2014-07-02
53,PROD00000036,9781937551421,Stars & Stripes,Abigail Roux,Macmillan,2012-12-02,E-BOOK,ROMANCE,Contemporary Romance,spanish,292,,33.62,7.5,1,176,1,0,2015-03-07,
54,PROD00000037,9780007489206,Last Stand of Dead Men,derek landy,Macmillan  ,2013-07-14,E-Book,Fantasy,Urban Fantasy,English,604,,39.43,7.3,1,63,1,0,2013-08-28,
55,PROD00000038,9780734415103  ,Empower,Jessica Shirvington,Harpercollins,2014-01-28,Physical,Fiction,Literary Fiction,French  ,464,,37.03,4.92,1,75,1,0,2015-04-23,
56,PROD00000039,,Preppy: The Life and Death of Samuel Clearwater Part One,T.M. Frazier,HarperCollins,2016-07-16,Physical,Romance,Historical Romance,Spanish,300,,33.66,12.68,1,91,1,0,2020-03-25,
57,PROD00000040,9781442445987,Exile,Shannon Messenger,Simon & Schuster,2013-06-27,Audiobook,Fantasy,Dark Fantasy  ,,,960,41.51,9.37,1,42,1,0,2016-02-05,2015-06-08
58,PROD00000040,9781442445987,Exile,Shannon Messenger,Simon & Schuster,2013-06-27,Audiobook,Fantasy,dark fantasy,French,,960,37.85,8.54,1,121,1,0,2015-11-14,2017-06-13
59,PROD00000040,9781442445987,Exile,Shannon Messenger,Simon & Schuster,2013-06-27,Audiobook,Fantasy,Dark Fantasy  ,French,,960,34.78,7.85,1,260,1,0,2017-06-13,2017-03-10
60,PROD00000040,9781442445987,  Exile,Shannon Messenger  ,Simon & Schuster,2013-06-27,AUDIOBOOK,Fantasy,  Dark Fantasy,French,,960,32.17,7.26,1,138,1,0,2017-05-16,
61,PROD00000041,9781421539799,Ying Lan Gao Xiao hosuto Bu 17,  Bisco Hatori,HarperCollins,2010-12-04,  E-book,Fiction,Contemporary Fiction,English,192,,22.53,11.93,1,192,1,0,2013-01-22,
62,PROD00000042,9781421525686,Gang no Lian Jin Shu Shi 19,Hiromu Arakawa  ,HarperCollins,2008-04-07,E-book,Fantasy,Epic Fantasy,German,192,,12.53,13.96,1,311,1,0,2011-07-31,
63,PROD00000043,9780007489251,the dying of the light  ,Derek Landy,Simon & Schuster,2014-03-16,E-book,Fantasy,Urban Fantasy,French,605,,43.67,5.33,1,124,1,0,2016-09-24,2016-01-02
64,PROD00000043,9780007489251,The Dying of the Light,Derek Landy,Simon & Schuster,2014-03-16,E-book,FANTASY,Urban Fantasy,French,605,,37.12,4.53,1,27,1,0,2016-04-16,
65,PROD00000044,9784088704531,haikiyu!! 1,Haruichi Furudate,Simon & Schuster,2012-06-04,Physical,Fiction,Contemporary Fiction,French,192,,31.44,7.8,1,122,1,0,2015-07-30,
66,PROD00000045,,Fade,Santino Hassell,Penguin Random House,2011-05-24,Physical,Romance,Contemporary Romance  ,French,1214,,26.82,8.3,1,11,1,0,2012-02-02,
67,PROD00000046,9781484798577,The Empty Grave,Jonathan Stroud,Penguin Random House,2027-01-14,E-BOOK,Fantasy,Epic Fantasy,Spanish,448,,36.91,12.74,1,378,1,0,2019-03-14,
68,PROD00000047,9781484814772,Something Like Autumn,Jay Bell,Macmillan,2013-12-19,Physical,Romance,Historical Romance,French  ,404,,13.5,7.68,1,119,1,0,2014-04-08,
69,PROD00000048,9780439655484,harry potter and the prisoner of azkaban,J.K. Rowling,Hachette,1999-10-20,E-book,Fantasy,URBAN FANTASY,Spanish,435,,12.92,13.59,1,216,1,0,2001-09-19,
70,PROD00000049,9780439139601  ,Harry Potter and the Goblet of Fire,J.K. Rowling,Penguin Random House,2000-09-06,Physical,Fantasy  ,Epic Fantasy,French,734,,34.65,5.83,1,156,1,0,2002-12-09,
71,PROD00000050,9780439358071,Harry Potter and the Order of the Phoenix,J.K. Rowling,HarperCollins,2003-05-18,Physical,Fantasy  ,Epic Fantasy,Spanish,870,,20.15,11.15,1,242,1,0,2007-04-26,
72,PROD00000051,9780439785969,Harry Potter and the Half-Blood Prince,J.K. Rowling,Penguin Random House  ,2005-09-26,  e-book,Fantasy,  Urban Fantasy,French,652,,39.2,7.4,1,255,1,0,2005-11-22,
73,PROD00000052,9780399155345,The Help,Kathryn Stockett,Macmillan,2009-01-23,Physical,  Fiction,Historical Fiction,  Spanish,444,,39.78,8.36,1,179,1,0,2012-10-21,
74,PROD00000053,9780553573428,A Storm of Swords,GEORGE R.R. MARTIN,Penguin Random House,2000-08-16,E-book,Fiction,Contemporary Fiction,Spanish,1177,,22.76,11.19,1,484,1,0,2004-03-16,
75,PROD00000054,9780345339737,The Return of the King,J.R.R. Tolkien,Penguin Random House,1955-09-27,E-book,Fantasy,Epic Fantasy,Spanish,490,,17.24,8.22,1,250,1,0,1957-03-18,
76,PROD00000055,9781423101475,The Last Olympian,Rick Riordan,  HarperCollins,2009-10-10,  Audiobook,Fantasy,DARK FANTASY,German,,635,35.57,7.54,1,9,1,0,2011-06-27,2010-07-28
77,PROD00000055,9781423101475,The Last Olympian,Rick Riordan,,2009-10-10,Audiobook,Fantasy,Dark Fantasy,,,635,32.44,6.87,1,46,1,0,2011-02-04,2010-07-12
78,PROD00000055,9781423101475,The Last Olympian,Rick Riordan,HarperCollins,2009-10-10,Audiobook,Fantasy,Dark Fantasy,German,,635,29.81,6.31,1,276,1,0,2010-12-23,2010-06-11
79,PROD00000055,9781423101475,The Last Olympian,Rick Riordan,HarperCollins,2009-10-10,AUDIOBOOK,Fantasy,Dark Fantasy,German,,635,27.57,5.84,1,135,1,0,2010-08-07,
80,PROD00000056,9780618640157,The Lord of the Rings,  J.R.R. Tolkien,Penguin Random House,1955-11-11,E-book,Fantasy,,French,1216,,38.82,14.9,1,6,1,0,1953-03-15,1954-04-26
81,PROD00000056,9780618640157,The Lord of the Rings,J.R.R. Tolkien,Penguin Random House,,E-book,Fantasy,Urban Fantasy,French,,,34.51,13.24,1,37,1,0,1954-04-26,1956-02-22
82,PROD00000056,9780618640157  ,The Lord of the Rings,J.R.R. Tolkien,Penguin Random House,1955-11-11,E-book,Fantasy,Urban Fantasy  ,French,1216,,31.06,11.92,1,7,1,0,1956-02-22,
83,PROD00000057,9780312577223,The Nightingale,Kristin Hannah,HarperCollins,2015-05-01,Audiobook,Fiction,Contemporary Fiction,Spanish,,733  ,19.75,13.03,1,91,1,0,2018-12-07,
84,PROD00000058,9781416975885  ,Clockwork Prince,Cassandra Clare,Penguin Random House,2011-01-04,Audiobook,Fantasy,Urban Fantasy,German,,836,39.64,10.49,1,275,1,0,2014-07-25,
85,PROD00000059,9781423140603,The Mark of Athena,Rick Riordan,Simon & Schuster,2012-06-26,physical,  Fantasy,Epic Fantasy,Spanish,586,,27.25,13.93,1,454,1,0,2012-10-16,
86,PROD00000060,9781481426305,City of Heavenly Fire,Cassandra Clare,Simon & Schuster,2014-05-07,E-book,Fantasy,Urban Fantasy,Spanish,725  ,,32.81,8.65,1,255,1,0,2017-10-12,
87,PROD00000061,  9781619630628,Crown of Midnight,Sarah J. Maas  ,Penguin Random House,2013-05-11,E-book,FANTASY,Dark Fantasy,  French,418,,31.55,10.7,1,330,1,0,2017-01-23,
88,PROD00000062,9780312642976,Cress,Marissa Meyer,  HarperCollins,2014-06-13,Physical,Fiction,LITERARY FICTION,French,552,,18.67,8.57,1,102,1,0,2015-10-24,
89,PROD00000063,9781423146728,The House of Hades,  Rick Riordan,Penguin Random House,2013-08-08,Audiobook,Fantasy,Urban Fantasy,French,,995,29.58,6.52,1,392,1,0,2013-09-22,
90,PROD00000064,9780765316899,The Hero of Ages,  Brandon Sanderson,Hachette,2008-11-15,E-book,Fantasy,Epic Fantasy,German,  572,,23.11,3.67,1,494,1,0,2012-08-01,
91,PROD00000065,9781590525135,Redeeming Love,Francine Rivers,Penguin Random House,1991-07-10,E-book,Fiction,Contemporary Fiction,Spanish,464,,38.63,14.43,1,248,1,0,1992-03-09,
92,PROD00000066,9780545265355,The Hunger Games Box Set,Suzanne Collins,Penguin Random House,2010-04-16,  E-book,Fiction,Historical Fiction,German,1155,,24.59,11.08,1,381,1,0,2012-10-16,
93,PROD00000067,9781619630659,Heir of Fire,Sarah J. Maas,Penguin Random House,2014-09-16,Audiobook,Fantasy,  Dark Fantasy,German,,941,26.87,10.03,1,40,1,0,2017-09-23,
94,PROD00000068,9780451219367,Lover Awakened,J.R. Ward,Hachette,2006-05-15,Physical,Fantasy,DARK FANTASY,Spanish,434,,18.6,14.53,1,42,1,0,2008-04-22,
95,PROD00000069,9780671683900,LONESOME DOVE,larry mcmurtry,Simon & Schuster,1985-08-04,E-book,Fiction,Historical Fiction,Spanish  ,945,,37.25,10.81,1,337,1,0,1986-03-13,
96,PROD00000070,9780312642983,WINTER,Marissa Meyer,HarperCollins,2015-06-26,  E-book,Fiction,Historical Fiction,German,827,,19.87,4.49,1,256,1,0,2015-12-12,
97,PROD00000071,9781627792127,Six of Crows,Leigh Bardugo,Simon & Schuster,2015-03-06,Physical,  FANTASY,urban fantasy,French,462,,16.48,11.1,1,440,1,,2017-07-24,
98,PROD00000072,9781442468351,Lady Midnight,Cassandra Clare,Simon & Schuster,2016-06-10,audiobook,Romance,PARANORMAL ROMANCE,English,,1163,34.98,8.54,1,139,1,,2018-04-27,
99,PROD00000073,  9781591169208,Gang no Lian Jin Shu Shi 1,Hiromu Arakawa,Hachette,2002-12-26,Physical,Fiction,Historical Fiction,English,192,,20.89,4.92,1,218,1,0,2004-08-16,
100,PROD00000074,9780345539823,Golden Son,Pierce Brown,Macmillan,2015-01-16,Audiobook,Fiction,Historical Fiction,French,,716,13.6,16.44,1,200,1,0,2017-07-19,2017-01-27
101,PROD00000074,9780345539823,Golden Son,Pierce Brown,Macmillan,2015-01-16,AUDIOBOOK,Fiction,Historical Fiction,French,,716,12.4,14.99,1,235,1,,2017-06-11,2016-06-15
102,PROD00000074,9780345539823,Golden Son,Pierce Brown,Macmillan,2015-01-16,Audiobook,Fiction,Historical Fiction,french,,716,11.39,13.77,1,240,1,0,2017-01-06,2016-01-01
103,PROD00000074,9780345539823,Golden Son,Pierce Brown,Macmillan,2015-01-16,  Audiobook,Fiction,HISTORICAL FICTION,French,,716,10.54,12.74,1,401,1,0,2016-12-27,
104,PROD00000075,9781408857908,A Court of Wings and Ruin,Sarah J. Maas,Penguin Random House,,Physical,Fantasy,Epic Fantasy,English,,,25.11,5.78,1,300,1,0,2017-03-21,2018-04-22
105,PROD00000075,9781408857908,A Court of Wings and Ruin,Sarah J. Maas,Penguin Random House,2017-10-21,Physical,Fantasy,Epic Fantasy,English,699,,22.89,5.27,1,46,1,0,2018-04-22,2017-06-17
106,PROD00000075,9781408857908  ,A Court of Wings and Ruin,Sarah J. Maas,Penguin Random House  ,,Physical,Fantasy,Epic Fantasy,English,699,,21.04,4.84,1,239,1,0,2018-02-08,2019-05-31
107,PROD00000075,9781408857908,A Court of Wings and Ruin,SARAH J. MAAS,Penguin Random House  ,2017-10-21,Physical,Fantasy,Epic Fantasy  ,English,699,,19.46,4.48,1,369,1,0,2019-05-31,
108,PROD00000076,  9780552154307,Night Watch,  Terry Pratchett,Simon & Schuster,2002-05-04,Audiobook,Fantasy,Dark Fantasy,ENGLISH,,1255,29.97,7.49,1,11,1,0,2003-12-09,
109,PROD00000077,9780765325952,A Memory of Light,robert jordan,,2012-04-28,E-book,Fantasy  ,,,,,38.42,13.95,1,57,1,0,2013-11-08,2013-01-05
110,PROD00000077,9780765325952,A Memory of Light,ROBERT JORDAN,SIMON & SCHUSTER,2012-04-28,E-BOOK,Fantasy,Urban Fantasy,English,909,,34.16,12.4,1,272,1,0,2013-06-18,2012-07-08
111,PROD00000077,9780765325952,A Memory of Light,Robert Jordan,Simon & Schuster,2012-04-28,E-book,Fantasy,Urban Fantasy,English,909,,30.74,11.16,1,178,1,0,2013-05-19,
112,PROD00000078,9780451463173,Changes,Jim Butcher,Simon & Schuster,2010-06-19,Physical,  Fantasy,Epic Fantasy  ,Spanish  ,438,,24.99,3.12,1,14,1,0,2011-04-03,
113,PROD00000079,9781408852590,The Assassin's Blade  ,Sarah J. Maas,Macmillan,2014-04-11,E-book,Fantasy,Urban Fantasy,English,448,,29.83,12.91,1,122,1,0,2015-09-08,
114,PROD00000080,9780451464408,Cold Days,Jim Butcher,Hachette,2012-11-14,PHYSICAL,fantasy,Epic Fantasy,French,515,,22.76,6.5,1,176,1,0,2013-12-08,
115,PROD00000081,9780345539847  ,Morning Star,Pierce Brown,Penguin Random House,2016-10-02,E-book,Fiction,contemporary fiction,Spanish,  524,,34.9,3.82,1,350,1,0,2019-06-14,
116,PROD00000082,9780385344432,Written in My Own Heart's Blood,Diana Gabaldon,Hachette,2014-07-10,Physical,Fiction,Literary Fiction,French  ,825,,13.41,10.35,1,331,1,0,2018-04-10,
117,PROD00000083,9780441018529,Magic Bleeds,Ilona Andrews,Penguin Random House,,E-Book,Fantasy,Urban Fantasy  ,,349,,45.71,12.79,1,163,1,0,2012-10-09,2011-11-24
118,PROD00000083,9780441018529,Magic Bleeds,  Ilona Andrews,Penguin Random House,2010-06-03,E-book,Fantasy,Urban Fantasy,,349,,40.63,11.37,1,84,1,,2012-05-21,2011-11-23
119,PROD00000083,9780441018529,Magic Bleeds,Ilona Andrews,Penguin Random House  ,2010-06-03,E-book,Fantasy,Urban Fantasy,English,349,,36.57,10.23,1,9,1,0,2012-03-20,
120,PROD00000084,9780006479901,A Storm of Swords: Part 1 Steel and Snow,George R.R. Martin,Macmillan,2000-04-28,Physical,Fantasy,Dark Fantasy,German,663  ,,11.78,4.31,1,212,1,,2000-08-03,
121,PROD00000085,,Blood song,  ANTHONY RYAN,Macmillan,2011-09-11,E-book,Fantasy,epic fantasy,English,591,,38.95,6.5,1,372,1,0,2012-02-18,
122,PROD00000086,9781563890352,The Sandman: Season of Mists,Neil Gaiman,HarperCollins,1990-03-05,E-book,Fiction,Literary Fiction,French,727,,25.32,9.23,1,125,1,0,1993-08-30,
123,PROD00000087,9780316079914,The Blinding Knife,Brent Weeks,HarperCollins,2012-10-16,Audiobook,Fantasy,Urban Fantasy,Spanish,,1118,25.61,10.92,1,118,1,0,2013-03-31,
124,PROD00000088,9781632150776,Saga Volume Four  ,Brian K. Vaughan  ,Hachette,2014-06-19,e-book,Fiction,Literary Fiction,German,152,,31.85,11.33,1,496,1,0,2015-08-28,
125,PROD00000089,9781439123126,Demon From the Dark,Kresley Cole,HARPERCOLLINS,2010-02-15,Physical,Fantasy,  Urban Fantasy,Spanish,430,,13.62,10.14,1,414,1,0,2011-07-20,
126,PROD00000090,9781937007584,Magic Rises,Ilona Andrews,Macmillan,2013-03-20,Physical,Fantasy,Epic Fantasy,English,327,,30.24,3.95,1,357,1,0,2015-02-24,
127,PROD00000091,9781442468405,Lord of Shadows,Cassandra Clare,Simon & Schuster,2017-11-14,Physical,Fantasy,Urban Fantasy,GERMAN,701,,36.64,13.8,1,28,1,0,2019-12-19,
128,PROD00000092,9780765365439,Mistborn Trilogy Boxed Set,Brandon Sanderson,Simon & Schuster,2009-02-07,E-book,Fantasy,Dark Fantasy,English,2201,,37.03,4.66,1,221,1,0,2011-09-20,
129,PROD00000093,,  The Broken Eye,Brent Weeks,Simon & Schuster,2014-06-14,Physical,Fantasy,Dark Fantasy,,846,,18.25,11.39,1,171,1,0,2015-05-11,2014-07-27
130,PROD00000093,,The Broken Eye,BRENT WEEKS,Simon & Schuster,2014-06-14,physical,Fantasy,,french,846,,16.64,10.39,1,23,1,0,2015-02-20,2014-09-23
131,PROD00000093,,The Broken Eye,brent weeks,  Simon & Schuster,2014-06-14,physical,Fantasy,Dark Fantasy,French,846,,15.29,9.55,1,146,1,0,2014-11-02,2013-09-13
132,PROD00000093,,The Broken Eye,Brent Weeks,Simon & Schuster,2014-06-14,Physical  ,Fantasy  ,Dark Fantasy,french,846,,14.14,8.83,1,369,1,0,2014-06-20,
133,PROD00000094,9781423144335,The Crimson Crown,Cinda Williams Chima,HarperCollins,2012-04-23,Audiobook,Fantasy,Urban Fantasy,French,,996,18.24,5.72,1,268,1,0,2012-10-01,
134,PROD00000095,9780316187718,Heir of Novron,Michael J. Sullivan,Hachette,2012-07-02,  Audiobook,Fantasy,Epic Fantasy,FRENCH,,1553  ,19.17,10.63,1,180,1,0,2015-07-03,
135,PROD00000096,9780425256220,magic breaks,Ilona Andrews,Harpercollins,2014-07-18,E-book,fantasy,Epic Fantasy,french,381,,24.76,4.51,1,489,1,0,2015-06-19,
136,PROD00000097,9780440423218,A Game of Thrones - The Graphic Novel Volume 1,Daniel Abraham,Macmillan,2015-11-08,Physical,Fiction,Historical Fiction,German  ,240,,15.37,3.73,1,489,1,0,2017-12-22,
137,PROD00000098,9781416521693,The Coldest Winter Ever  ,Sister Souljah,Macmillan,1999-09-17,Audiobook,Fiction,Historical Fiction,English,,906,36.05,11.06,1,232,1,0,2000-09-04,
138,PROD00000099,9781250014405,Fifth Grave Past the Light,Darynda Jones,Macmillan,2013-01-26,Physical,Fantasy,Epic Fantasy,English,,,34.66,12.45,1,251,1,0,2013-10-05,2013-07-09
