page_view_key,session_id,page_view_timestamp,page_url,page_title,page_type,product_id,previous_page_url,time_on_page_seconds,scroll_depth_percent,exit_page_flag,entry_page_flag
53,SESS00125511,2023-10-13 01:55:58,https://bookhoarder.com/cart,The Book Hoarder - Cart,Cart  ,,https://bookhoarder.com/product/PROD00004289,191,,0,0
54,SESS00125511,2023-10-13 01:59:07,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,https://bookhoarder.com/cart,103,40,0,0
55,SESS00125511,2023-10-13 01:58:21,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,https://bookhoarder.com/category,120,80,0,0
56,SESS00125511,2023-10-13 01:58:55,https://bookhoarder.com/home,The Book Hoarder - Home,Home,,https://bookhoarder.com/category,12,32,0,0
57,SESS00125511,2023-10-13 02:03:53,https://bookhoarder.com/category,  The Book Hoarder - Category,Category,,https://bookhoarder.com/home,161,59,1,0
58,SESS00168732,2023-09-09 19:52:01,https://bookhoarder.com/category,the book hoarder - category,Category  ,,,84,53,0,1
59,SESS00168732,2023-09-09 19:52:41,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,https://bookhoarder.com/category,198,92,0,0
60,SESS00168732,2023-09-09 19:53:23,https://bookhoarder.com/category,The Book Hoarder - Category,  Category,,https://bookhoarder.com/category,135,43,0,0
61,SESS00168732,2023-09-09 19:55:52,https://bookhoarder.com/home,The Book Hoarder - Home,Home,,https://bookhoarder.com/category,140,39,0,0
62,SESS00168732,2023-09-09 19:53:25,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,https://bookhoarder.com/home,135,89,0,0
63,SESS00168732,2023-09-09 20:00:11,https://bookhoarder.com/home,The Book Hoarder - Home,Home  ,,https://bookhoarder.com/category,84,95,0,0
64,SESS00168732,2023-09-09 20:01:01,https://bookhoarder.com/product/PROD00003388,The Book Hoarder - Product,Product,PROD00003388,https://bookhoarder.com/home,161,55,0,0
65,SESS00168732,2023-09-09 20:01:35,https://bookhoarder.com/cart,The Book Hoarder - Cart,Cart,,https://bookhoarder.com/product/PROD00003388,14,76,0,0
66,SESS00168732,2023-09-09 20:04:17,https://bookhoarder.com/product/PROD00001040,The Book Hoarder - Product,Product,PROD00001040,https://bookhoarder.com/cart,87,99,0,0
67,SESS00168732,2023-09-09 20:02:49,https://bookhoarder.com/home,The Book Hoarder - Home  ,Home,,https://bookhoarder.com/product/PROD00001040,191,76,1,0
68,SESS00051764,2021-07-30 17:55:48,  https://bookhoarder.com/home,The Book Hoarder - Home,Home,,,12,72,0,1
69,SESS00051764,2021-07-30 17:56:52,https://bookhoarder.com/product/PROD00001580,The Book Hoarder - Product,Product,PROD00001580,https://bookhoarder.com/home,153,95,0,0
70,SESS00051764,2021-07-30 17:56:34,https://bookhoarder.com/cart,The Book Hoarder - Cart,Cart,,https://bookhoarder.com/product/PROD00001580,336,83,1,0
71,SESS00065160,2023-09-02 10:39:31,https://bookhoarder.com/home,The Book Hoarder - Home,Home,,,4,63,0,1
72,SESS00065160,2023-09-02 10:39:42,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,https://bookhoarder.com/home,46,70,0,0
73,SESS00065160,2023-09-02 10:41:43,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,https://bookhoarder.com/category,34,33,0,0
74,SESS00065160,2023-09-02 10:44:37,https://bookhoarder.com/cart,The Book Hoarder - Cart,cart,,https://bookhoarder.com/category,154,58,0,0
75,SESS00065160,2023-09-02 10:40:19,https://bookhoarder.com/cart,The Book Hoarder - Cart,  Cart,,https://bookhoarder.com/cart,148,53,0,0
76,SESS00065160,2023-09-02 10:49:06,https://bookhoarder.com/home,The Book Hoarder - Home,Home,,https://bookhoarder.com/cart,47,73,0,0
77,SESS00065160,2023-09-02 10:51:01,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,https://bookhoarder.com/home,35,32,0,0
78,SESS00065160,2023-09-02 10:49:54,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,https://bookhoarder.com/category,42,84,0,0
79,SESS00065160,2023-09-02 10:43:39,https://bookhoarder.com/checkout,The Book Hoarder - Checkout,Checkout,,https://bookhoarder.com/category,232,,0,0
80,SESS00065160,2023-09-02 10:57:13,https://bookhoarder.com/payment-failed,The Book Hoarder - Payment Failed,Payment Failed,,https://bookhoarder.com/checkout,35,59,1,0
81,SESS00065420,2024-12-29 09:50:28,https://bookhoarder.com/category,  The Book Hoarder - Category,Category,,,153,43,0,1
82,SESS00065420,2024-12-29 09:51:08,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,https://bookhoarder.com/category,112,,0,0
83,SESS00065420,2024-12-29 09:54:06,https://bookhoarder.com/home,The Book Hoarder - Home,Home,,https://bookhoarder.com/category  ,28,86,0,0
84,SESS00065420,2024-12-29 09:51:37,https://bookhoarder.com/category  ,THE BOOK HOARDER - CATEGORY,Category  ,,https://bookhoarder.com/home,11,54,0,0
85,SESS00065420,2024-12-29 09:51:16,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,https://bookhoarder.com/category,123,59,0,0
86,SESS00065420,2024-12-29 09:56:23,https://bookhoarder.com/home,The Book Hoarder - Home,Home,,https://bookhoarder.com/category,105,74,0,0
87,SESS00065420,2024-12-29 09:53:52,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,https://bookhoarder.com/home,21,69,0,0
88,SESS00065420,2024-12-29 09:51:52,https://bookhoarder.com/product/PROD00000960,The Book Hoarder - Product,Product,PROD00000960,https://bookhoarder.com/category,184,88,0,0
89,SESS00065420,2024-12-29 10:03:48,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,https://bookhoarder.com/product/PROD00000960,204,63,0,0
90,SESS00065420,2024-12-29 09:57:13,https://bookhoarder.com/product/PROD00004322,The Book Hoarder - Product,Product,PROD00004322,https://bookhoarder.com/category  ,138,,1,0
91,SESS00016963,2022-04-06 23:08:12,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,,420,80,1,1
92,SESS00075801,2022-09-15 04:47:47,https://bookhoarder.com/category,  The Book Hoarder - Category,Category,,,367,63,0,1
93,SESS00075801,2022-09-15 04:49:01,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,https://bookhoarder.com/category,126,62,0,0
94,SESS00075801,2022-09-15 04:49:11,https://bookhoarder.com/product/PROD00002924,The Book Hoarder - Product,PRODUCT,PROD00002924,https://bookhoarder.com/category,213,89,0,0
95,SESS00075801,2022-09-15 04:49:38,https://bookhoarder.com/product/PROD00000897  ,The Book Hoarder - Product,PRODUCT,PROD00000897,https://bookhoarder.com/product/PROD00002924,220,100,0,0
96,SESS00075801,2022-09-15 04:54:11,https://bookhoarder.com/product/PROD00003619,The Book Hoarder - Product  ,Product,PROD00003619,https://bookhoarder.com/product/PROD00000897,184,80,0,0
97,SESS00075801,2022-09-15 04:53:42,https://bookhoarder.com/product/PROD00001639,The Book Hoarder - Product,Product,PROD00001639,https://bookhoarder.com/product/PROD00003619,37,70,0,0
98,SESS00075801,2022-09-15 04:58:11,https://bookhoarder.com/product/PROD00004796,The Book Hoarder - Product,Product,PROD00004796,https://bookhoarder.com/product/PROD00001639,84,82,0,0
99,SESS00075801,2022-09-15 04:56:39,https://bookhoarder.com/home,The Book Hoarder - Home,Home,,https://bookhoarder.com/product/PROD00004796,310,81,0,0
100,SESS00075801,2022-09-15 05:00:59,https://bookhoarder.com/checkout,The Book Hoarder - Checkout,Checkout,,https://bookhoarder.com/home,411,81,0,0
101,SESS00075801,2022-09-15 04:53:29,https://bookhoarder.com/cart,The Book Hoarder - Cart  ,Cart,,https://bookhoarder.com/checkout,551,65,1,0
102,SESS00053111,2023-01-08 22:25:29,https://bookhoarder.com/home,The Book Hoarder - Home,Home,,,120,98,1,1
103,SESS00076966,2023-08-14 20:34:13,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,,158,,0,1
104,SESS00076966,2023-08-14 20:34:26,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,https://bookhoarder.com/category,88,60,0,0
105,SESS00076966,2023-08-14 20:35:03,https://bookhoarder.com/home,The Book Hoarder - Home,Home,,https://bookhoarder.com/category,118,99,0,0
106,SESS00076966,2023-08-14 20:36:13,https://bookhoarder.com/home,The Book Hoarder - Home,Home,,https://bookhoarder.com/home,112,85,0,0
107,SESS00076966,2023-08-14 20:37:29,https://bookhoarder.com/home,the book hoarder - home,Home,,  https://bookhoarder.com/home,154,61,0,0
108,SESS00076966,2023-08-14 20:43:53,https://bookhoarder.com/home,The Book Hoarder - Home,Home  ,,https://bookhoarder.com/home  ,189,46,0,0
109,SESS00076966,2023-08-14 20:39:13,https://bookhoarder.com/payment-failed,The Book Hoarder - Payment Failed,Payment Failed,,https://bookhoarder.com/home,162,74,1,0
110,SESS00130887,2021-11-22 02:27:50,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,,267,70,0,1
111,SESS00130887,2021-11-22 02:29:19,https://bookhoarder.com/home,The Book Hoarder - Home,Home,,https://bookhoarder.com/category,139,77,0,0
112,SESS00130887,2021-11-22 02:29:58,https://bookhoarder.com/cart,The Book Hoarder - Cart,Cart,,https://bookhoarder.com/home  ,40,86,0,0
113,SESS00130887,2021-11-22 02:28:56,https://bookhoarder.com/product/PROD00002507,The Book Hoarder - Product,  Product,PROD00002507,https://bookhoarder.com/cart,40,86,0,0
114,SESS00130887,2021-11-22 02:32:14,https://bookhoarder.com/product/PROD00001522,The Book Hoarder - Product,product,PROD00001522,https://bookhoarder.com/product/PROD00002507,54,96,0,0
115,SESS00130887,2021-11-22 02:33:25,https://bookhoarder.com/home,The Book Hoarder - Home,Home,,https://bookhoarder.com/product/PROD00001522,298,69,0,0
116,SESS00130887,2021-11-22 02:36:26,https://bookhoarder.com/cart,The Book Hoarder - Cart,Cart,,  https://bookhoarder.com/home,20,,0,0
117,SESS00130887,2021-11-22 02:39:16,https://bookhoarder.com/cart,The Book Hoarder - Cart,Cart,,https://bookhoarder.com/cart,445,74,0,0
118,SESS00130887,2021-11-22 02:32:22,https://bookhoarder.com/home,The Book Hoarder - Home,Home,,https://bookhoarder.com/cart,384,89,0,0
119,SESS00130887,2021-11-22 02:36:05,https://bookhoarder.com/product/PROD00003949,  The Book Hoarder - Product,Product,PROD00003949,https://bookhoarder.com/home,24,76,1,0
120,SESS00141115,2024-04-01 21:24:50,https://bookhoarder.com/home,The Book Hoarder - Home,Home,,,158,54,0,1
121,SESS00141115,2024-04-01 21:26:08,https://bookhoarder.com/product/PROD00004946,The Book Hoarder - Product,Product,PROD00004946,https://bookhoarder.com/home,140,56,0,0
122,SESS00141115,2024-04-01 21:27:24,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,https://bookhoarder.com/product/PROD00004946  ,198,66,0,0
123,SESS00141115,2024-04-01 21:27:41,https://bookhoarder.com/payment-failed,The Book Hoarder - Payment Failed,Payment Failed,,https://bookhoarder.com/category,109,51,1,0
124,SESS00081537,2021-05-15 09:36:21,https://bookhoarder.com/home,The Book Hoarder - Home,Home,,,42,64,0,1
125,SESS00081537,2021-05-15 09:37:49,https://bookhoarder.com/product/PROD00004430,The Book Hoarder - Product,Product,PROD00004430,https://bookhoarder.com/home,64,68,0,0
126,SESS00081537,2021-05-15 09:37:57,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,https://bookhoarder.com/product/PROD00004430,259,96,0,0
127,SESS00081537,2021-05-15 09:38:09,  https://bookhoarder.com/cart,The Book Hoarder - Cart,Cart,,https://bookhoarder.com/category,16,68,0,0
128,SESS00081537,2021-05-15 09:37:41,https://bookhoarder.com/home,The Book Hoarder - Home,Home,,https://bookhoarder.com/cart,315,96,0,0
129,SESS00081537,2021-05-15 09:38:16,https://bookhoarder.com/product/PROD00002374,The Book Hoarder - Product,Product,PROD00002374,https://bookhoarder.com/home,439,65,1,0
130,SESS00032812,2022-01-30 01:56:47,https://bookhoarder.com/category,The Book Hoarder - Category,category,,,108,69,0,1
131,SESS00032812,2022-01-30 01:58:06,https://bookhoarder.com/product/PROD00004589,The Book Hoarder - Product,Product  ,PROD00004589,https://bookhoarder.com/category,82,94,0,0
132,SESS00032812,2022-01-30 01:57:15,https://bookhoarder.com/product/PROD00003572,The Book Hoarder - Product,Product,PROD00003572,https://bookhoarder.com/product/PROD00004589,153,91,0,0
133,SESS00032812,2022-01-30 02:00:29,https://bookhoarder.com/home,The Book Hoarder - Home,Home,,https://bookhoarder.com/product/PROD00003572,16,79,0,0
134,SESS00032812,2022-01-30 02:03:55,https://bookhoarder.com/checkout,The Book Hoarder - Checkout,checkout,,https://bookhoarder.com/home,60,85,0,0
135,SESS00032812,2022-01-30 01:59:57,https://bookhoarder.com/payment-failed,The Book Hoarder - Payment Failed,Payment Failed,,https://bookhoarder.com/checkout,116,,1,0
136,SESS00169892,2022-09-22 10:16:07,  https://bookhoarder.com/home,The Book Hoarder - Home,Home,,,141,67,1,1
137,SESS00157644,2023-10-10 18:46:49,https://bookhoarder.com/home,The Book Hoarder - Home,Home,,,171,51,0,1
138,SESS00157644,2023-10-10 18:47:57,https://bookhoarder.com/product/PROD00004452,The Book Hoarder - Product,Product,PROD00004452,https://bookhoarder.com/home,86,99,0,0
139,SESS00157644,2023-10-10 18:49:13,https://bookhoarder.com/home,the book hoarder - home,home,,https://bookhoarder.com/product/PROD00004452,42,89,0,0
140,SESS00157644,2023-10-10 18:50:58,https://bookhoarder.com/cart,  The Book Hoarder - Cart,Cart,,https://bookhoarder.com/home,258,54,0,0
141,SESS00157644,2023-10-10 18:52:17,https://bookhoarder.com/category,The Book Hoarder - Category,category,,https://bookhoarder.com/cart,203,55,0,0
142,SESS00157644,2023-10-10 18:54:29,https://bookhoarder.com/product/PROD00002925,  The Book Hoarder - Product,Product,PROD00002925,https://bookhoarder.com/category,12,53,0,0
143,SESS00157644,2023-10-10 18:49:31,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,https://bookhoarder.com/product/PROD00002925,142,34,0,0
144,SESS00157644,2023-10-10 18:59:53,https://bookhoarder.com/cart,The Book Hoarder - Cart,Cart,,https://bookhoarder.com/category,52,,0,0
145,SESS00157644,2023-10-10 18:56:17,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,https://bookhoarder.com/cart,128,65,0,0
146,SESS00157644,2023-10-10 18:56:07,https://bookhoarder.com/payment-failed,the book hoarder - payment failed,  Payment Failed,,https://bookhoarder.com/category,123,57,1,0
147,SESS00132859,2022-10-14 21:20:25,https://bookhoarder.com/home,The Book Hoarder - Home,Home,,,172,82,0,1
148,SESS00132859,2022-10-14 21:21:04,https://bookhoarder.com/home  ,The Book Hoarder - Home,  Home,,https://bookhoarder.com/home,208,93,0,0
149,SESS00132859,2022-10-14 21:21:41,https://bookhoarder.com/product/PROD00004340,The Book Hoarder - Product,Product,PROD00004340,  https://bookhoarder.com/home,12,100,0,0
150,SESS00132859,2022-10-14 21:21:58,https://bookhoarder.com/home,The Book Hoarder - Home,Home,,https://bookhoarder.com/product/PROD00004340,180,64,0,0
151,SESS00132859,2022-10-14 21:22:37,https://bookhoarder.com/product/PROD00001108,The Book Hoarder - Product,Product,PROD00001108,https://bookhoarder.com/home,399,71,1,0
152,SESS00048510,2021-01-14 20:57:31,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,,223,89,0,1
153,SESS00048510,2021-01-14 20:57:53,https://bookhoarder.com/checkout,The Book Hoarder - Checkout,Checkout,,https://bookhoarder.com/category,184,96,0,0
154,SESS00048510,2021-01-14 20:59:15,  https://bookhoarder.com/product/PROD00001060,The Book Hoarder - Product,Product,PROD00001060,https://bookhoarder.com/checkout,327,87,1,0
155,SESS00053820,2023-03-04 23:50:11,https://bookhoarder.com/home,The Book Hoarder - Home,Home,,,95,82,0,1
156,SESS00053820,2023-03-04 23:50:45,https://bookhoarder.com/home,  The Book Hoarder - Home,home,,https://bookhoarder.com/home,167,37,0,0
157,SESS00053820,2023-03-04 23:53:01,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,https://bookhoarder.com/home,168,87,0,0
158,SESS00053820,2023-03-04 23:50:53,https://bookhoarder.com/home,The Book Hoarder - Home,Home,,https://bookhoarder.com/category,43,82,0,0
159,SESS00053820,2023-03-04 23:53:51,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,https://bookhoarder.com/home,151,58,0,0
160,SESS00053820,2023-03-05 00:00:01,https://bookhoarder.com/category,the book hoarder - category,Category,,https://bookhoarder.com/category,191,55,0,0
161,SESS00053820,2023-03-04 23:58:53,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,https://bookhoarder.com/category  ,62,,0,0
162,SESS00053820,2023-03-04 23:53:20,https://bookhoarder.com/product/PROD00000239,The Book Hoarder - Product  ,Product,PROD00000239,https://bookhoarder.com/category,76,100,0,0
163,SESS00053820,2023-03-05 00:05:23,https://bookhoarder.com/category,the book hoarder - category  ,Category,,https://bookhoarder.com/product/PROD00000239,112,45,0,0
164,SESS00053820,2023-03-05 00:02:29,https://bookhoarder.com/payment-failed,THE BOOK HOARDER - PAYMENT FAILED,Payment Failed,,https://bookhoarder.com/category,141,58,1,0
165,SESS00004122,2024-07-06 14:31:52,https://bookhoarder.com/category,the book hoarder - category  ,Category,,,133,71,0,1
166,SESS00004122,2024-07-06 14:32:23,https://bookhoarder.com/home,The Book Hoarder - Home,Home,,https://bookhoarder.com/category,164,37,0,0
167,SESS00004122,2024-07-06 14:33:42,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,https://bookhoarder.com/home,161,59,0,0
168,SESS00004122,2024-07-06 14:37:16,https://bookhoarder.com/home,The Book Hoarder - Home,Home,,https://bookhoarder.com/category,161,51,0,0
169,SESS00004122,2024-07-06 14:35:32,https://bookhoarder.com/home,The Book Hoarder - Home,Home,,https://bookhoarder.com/home,203,67,0,0
170,SESS00004122,2024-07-06 14:35:02,  https://bookhoarder.com/product/PROD00004138,The Book Hoarder - Product,Product,PROD00004138,https://bookhoarder.com/home,180,41,0,0
171,SESS00004122,2024-07-06 14:34:16,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,  https://bookhoarder.com/product/PROD00004138,78,,0,0
172,SESS00004122,2024-07-06 14:33:23,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,https://bookhoarder.com/category,74,83,1,0
173,SESS00134637,2024-06-17 12:34:20,https://bookhoarder.com/category,The Book Hoarder - Category  ,Category,,,188,87,0,1
174,SESS00134637,2024-06-17 12:35:38,https://bookhoarder.com/category,The Book Hoarder - Category,CATEGORY,,https://bookhoarder.com/category,151,74,0,0
175,SESS00134637,2024-06-17 12:35:20,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,https://bookhoarder.com/category,165,34,0,0
176,SESS00134637,2024-06-17 12:37:32,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,https://bookhoarder.com/category,60,79,0,0
177,SESS00134637,2024-06-17 12:36:00,https://bookhoarder.com/product/PROD00003887,The Book Hoarder - Product,  PRODUCT,PROD00003887,https://bookhoarder.com/category,88,31,0,0
178,SESS00134637,2024-06-17 12:36:35,https://bookhoarder.com/cart,The Book Hoarder - Cart,Cart,,https://bookhoarder.com/product/PROD00003887,198,76,0,0
179,SESS00134637,2024-06-17 12:42:50,https://bookhoarder.com/category,The Book Hoarder - Category,Category,,https://bookhoarder.com/cart,16,47,0,0
180,SESS00134637,2024-06-17 12:37:08,https://bookhoarder.com/home,The Book Hoarder - Home,HOME,,https://bookhoarder.com/category,9,73,0,0
181,SESS00134637,2024-06-17 12:49:24,https://bookhoarder.com/category,The Book Hoarder - Category,Category  ,,https://bookhoarder.com/home,170,71,1,0
