line_key,order_id,product_id,line_number,quantity,unit_price,unit_cost,discount_amount,line_total
81,ORD00000028,PROD00000620,3,9,24.41,9.76,1.44,206.73
82,ORD00000029,PROD00001361,1,3,36.17,14.47,,
83,ORD00000029,PROD00003149,2,4,31.79,12.72,,
84,ORD00000029,PROD00003187,3,9,37.27,14.91,2.63,311.76
85,ORD00000029,PROD00003466,4,8,38.85,15.54,,
86,ORD00000030,PROD00004495,1,10,22.85,9.14,1.06,217.90000000000003
87,ORD00000031,PROD00000121,1,5,46.53,18.61,4.14,211.95
88,ORD00000031,PROD00004255,2,5,37.42,14.97,0.29,185.65
89,ORD00000031,PROD00003875,3,6,24.24,9.7,2.43,130.85999999999999
90,ORD00000032,PROD00003248,1,2,25.02,10.01,1.17,47.7
91,ORD00000032,PROD00000005,2,7,25.39,10.16,,
92,ORD00000032,PROD00002280,3,7,46.79,18.72,2.51,309.96000000000004
93,ORD00000033,PROD00000320,1,7,29.27,11.71,0.74,199.71
94,ORD00000033,PROD00002459,2,2,20.55,8.22,,
95,ORD00000033,PROD00000405,3,9,23.92,9.57,2.19,195.57
96,ORD00000033,PROD00001369,4,1,29.35,11.74,,
97,ORD00000034,PROD00001922,1,5,46.63,18.65,6.63,200.0
98,ORD00000034,PROD00001172,2,9,45.03,18.01,,
99,ORD00000034,PROD00001547,3,9,16.43,6.57,,
100,ORD00000035,PROD00003085,1,8,34.35,13.74,4.49,238.88
101,ORD00000036,PROD00001942,1,6,21.67,8.67,1.52,120.9
102,ORD00000036,PROD00004222,2,9,13.6,5.44,0.21,120.50999999999999
103,ORD00000036,PROD00003302,3,6,49.64,19.86,,
104,ORD00000036,PROD00000856,4,8,17.85,7.14,,
105,ORD00000037,PROD00002135,1,2,31.92,12.77,1.8,60.24
106,ORD00000038,PROD00000311,1,4,47.34,18.94,,
107,ORD00000038,PROD00000622,2,6,14.12,5.65,0.55,81.41999999999999
108,ORD00000038,PROD00004453,3,6,49.66,19.86,7.09,255.41999999999996
109,ORD00000038,PROD00000332,4,4,25.27,10.11,,
110,ORD00000038,PROD00001246,5,9,21.05,8.42,,
111,ORD00000039,PROD00004432,1,7,42.67,17.07,1.04,291.41
112,ORD00000039,PROD00004405,2,6,13.39,5.36,,
113,ORD00000040,PROD00001260,1,6,10.95,4.38,1.37,57.47999999999999
114,ORD00000040,PROD00001075,2,1,35.59,14.24,,
115,ORD00000041,PROD00001450,1,6,28.51,11.4,0.49,168.12
116,ORD00000041,PROD00000739,2,9,43.67,17.47,,
117,ORD00000041,PROD00003933,3,1,18.79,7.52,,
118,ORD00000041,PROD00000755,4,6,14.84,5.94,,
119,ORD00000041,PROD00004504,5,7,37.53,15.01,0.97,255.92000000000002
120,ORD00000042,PROD00004810,1,4,33.11,13.24,3.2,119.64
121,ORD00000042,PROD00002168,2,8,16.93,6.77,,
122,ORD00000043,PROD00004178,1,10,45.9,18.36,4.39,415.09999999999997
123,ORD00000044,PROD00003316,1,5,24.93,9.97,1.37,117.8
124,ORD00000044,PROD00001280,2,9,15.92,6.37,,
125,ORD00000044,PROD00002863,3,10,37.09,14.84,,
126,ORD00000045,PROD00003448,1,6,40.89,16.36,,
127,ORD00000045,PROD00001714,2,10,34.14,13.66,1.6,325.4
128,ORD00000045,PROD00004111,3,1,45.07,18.03,0.63,44.44
129,ORD00000045,PROD00000305,4,8,25.49,10.2,1.74,190.0
130,ORD00000045,PROD00003986,5,2,35.76,14.3,,
131,ORD00000046,PROD00000270,1,1,36.77,14.71,5.17,31.6
132,ORD00000046,PROD00001816,2,6,34.6,13.84,,
133,ORD00000046,PROD00003058,3,5,24.64,9.86,1.76,114.39999999999999
134,ORD00000046,PROD00000489,4,6,19.08,7.63,1.83,103.5
135,ORD00000047,PROD00000458,1,4,27.65,11.06,3.21,97.75999999999999
136,ORD00000047,PROD00000776,2,2,31.89,12.76,1.11,61.56
137,ORD00000048,PROD00002037,1,1,31.56,12.62,4.4,27.159999999999997
138,ORD00000048,PROD00002204,2,1,30.5,12.2,4.16,26.34
139,ORD00000048,PROD00001964,3,6,34.27,13.71,4.95,175.92000000000002
140,ORD00000049,PROD00003062,1,5,11.37,4.55,0.2,55.85
141,ORD00000049,PROD00000099,2,2,38.67,15.47,0.03,77.28
142,ORD00000049,PROD00002818,3,1,38.18,15.27,0.31,37.87
143,ORD00000049,PROD00002503,4,6,35.7,14.28,4.04,189.96000000000004
144,ORD00000049,PROD00002604,5,6,23.57,9.43,0.58,137.94
145,ORD00000050,PROD00003226,1,10,28.92,11.57,3.65,252.70000000000005
146,ORD00000050,PROD00003302,2,1,16.94,6.78,,
147,ORD00000050,PROD00002636,3,6,43.22,17.29,6.04,223.07999999999998
148,ORD00000050,PROD00001070,4,8,42.19,16.88,,
149,ORD00000050,PROD00003884,5,2,38.84,15.54,,
150,ORD00000051,PROD00004475,1,5,36.21,14.48,,
151,ORD00000051,PROD00001953,2,6,44.73,17.89,2.83,251.39999999999998
152,ORD00000052,PROD00003896,1,3,21.91,8.76,0.15,65.28
153,ORD00000052,PROD00004948,2,3,11.8,4.72,0.6,33.6
154,ORD00000052,PROD00000031,3,2,23.17,9.27,2.63,41.080000000000005
155,ORD00000052,PROD00004202,4,10,37.0,14.8,,
156,ORD00000052,PROD00001991,5,5,28.35,11.34,,
157,ORD00000053,PROD00002534,1,5,35.69,14.28,1.96,168.64999999999998
158,ORD00000053,PROD00001127,2,1,32.91,13.16,0.66,32.25
159,ORD00000054,PROD00001138,1,5,22.55,9.02,1.47,105.4
160,ORD00000054,PROD00001841,2,1,14.86,5.94,1.81,13.049999999999999
161,ORD00000054,PROD00000322,3,5,21.67,8.67,,
162,ORD00000054,PROD00003137,4,1,19.51,7.8,2.1,17.41
163,ORD00000055,PROD00004448,1,7,41.44,16.58,1.23,281.47
164,ORD00000055,PROD00000243,2,8,25.08,10.03,3.35,173.83999999999997
165,ORD00000055,PROD00001254,3,7,41.95,16.78,6.22,250.11
166,ORD00000055,PROD00004862,4,10,20.52,8.21,,
167,ORD00000056,PROD00001022,1,7,21.88,8.75,1.44,143.07999999999998
168,ORD00000056,PROD00003941,2,2,46.96,18.78,,
169,ORD00000057,PROD00003089,1,7,24.04,9.62,,
170,ORD00000057,PROD00002064,2,2,30.74,12.3,4.2,53.08
171,ORD00000057,PROD00004477,3,8,11.13,4.45,0.23,87.2
172,ORD00000057,PROD00004152,4,6,34.67,13.87,0.73,203.64000000000004
173,ORD00000057,PROD00004754,5,3,18.76,7.5,2.36,49.2
174,ORD00000058,PROD00003960,1,3,14.42,5.77,1.03,40.17
175,ORD00000059,PROD00000790,1,4,30.99,12.4,4.02,107.88
176,ORD00000059,PROD00000334,2,10,47.41,18.96,,
177,ORD00000059,PROD00003244,3,3,29.94,11.98,3.57,79.11
178,ORD00000059,PROD00003011,4,3,19.03,7.61,1.78,51.75
179,ORD00000060,PROD00004037,1,1,37.65,15.06,2.97,34.68
180,ORD00000061,PROD00004403,1,1,44.11,17.64,5.97,38.14
181,ORD00000061,PROD00002990,2,6,26.11,10.44,2.09,144.12
182,ORD00000061,PROD00004465,3,8,25.75,10.3,,
183,ORD00000062,PROD00000928,1,2,21.56,8.62,2.61,37.9
184,ORD00000063,PROD00002570,1,10,45.75,18.3,,
185,ORD00000063,PROD00002493,2,10,34.44,13.78,,
186,ORD00000063,PROD00003452,3,4,43.53,17.41,4.98,154.2
187,ORD00000063,PROD00001376,4,4,38.78,15.51,5.08,134.8
188,ORD00000063,PROD00002996,5,2,14.16,5.66,1.13,26.060000000000002
189,ORD00000064,PROD00001029,1,5,47.61,19.04,3.81,219.0
190,ORD00000064,PROD00001599,2,4,49.27,19.71,1.76,190.04000000000002
191,ORD00000064,PROD00000054,3,7,10.14,4.06,0.04,70.70000000000002
192,ORD00000065,PROD00002817,1,5,16.85,6.74,1.52,76.65
193,ORD00000065,PROD00003657,2,3,10.17,4.07,,
194,ORD00000065,PROD00003421,3,2,44.29,17.72,6.0,76.58
195,ORD00000066,PROD00002023,1,10,27.9,11.16,0.08,278.2
196,ORD00000066,PROD00004455,2,4,21.36,8.54,0.93,81.72
197,ORD00000066,PROD00003236,3,3,19.15,7.66,2.61,49.62
198,ORD00000067,PROD00001078,1,4,45.16,18.06,4.61,162.2
199,ORD00000067,PROD00000306,2,6,35.95,14.38,,
200,ORD00000068,PROD00002424,1,9,22.48,8.99,3.21,173.43
201,ORD00000068,PROD00001781,2,3,32.07,12.83,3.72,85.05000000000001
202,ORD00000068,PROD00000912,3,10,37.7,15.08,,
203,ORD00000068,PROD00004593,4,7,15.54,6.22,,
204,ORD00000068,PROD00001230,5,9,38.21,15.28,,
205,ORD00000069,PROD00003512,1,3,19.89,7.96,0.02,59.61
206,ORD00000069,PROD00003854,2,2,29.6,11.84,2.69,53.82
207,ORD00000070,PROD00000934,1,5,31.32,12.53,4.09,136.15
208,ORD00000070,PROD00004094,2,7,25.51,10.2,2.39,161.84
209,ORD00000070,PROD00000697,3,3,22.86,9.14,2.1,62.279999999999994
210,ORD00000070,PROD00000159,4,10,14.09,5.64,,
211,ORD00000071,PROD00001684,1,3,22.04,8.82,0.23,65.42999999999999
212,ORD00000071,PROD00001098,2,6,41.81,16.72,4.16,225.90000000000003
213,ORD00000071,PROD00001758,3,9,38.5,15.4,5.46,297.36
214,ORD00000071,PROD00004278,4,3,40.65,16.26,5.34,105.93
215,ORD00000072,PROD00004159,1,3,17.43,6.97,1.5,47.79
216,ORD00000072,PROD00000523,2,2,21.09,8.44,1.05,40.08
217,ORD00000073,PROD00000302,1,6,28.32,11.33,2.46,155.16
218,ORD00000073,PROD00000640,2,3,18.09,7.24,0.38,53.13
219,ORD00000074,PROD00004602,1,3,33.33,13.33,4.57,86.28
220,ORD00000074,PROD00002051,2,2,12.05,4.82,1.63,20.840000000000003
221,ORD00000074,PROD00001833,3,5,37.96,15.18,,
222,ORD00000075,PROD00004831,1,9,20.83,8.33,2.32,166.58999999999997
223,ORD00000076,PROD00003734,1,7,39.41,15.76,1.82,263.13
224,ORD00000076,PROD00000118,2,8,35.09,14.04,3.2,255.12000000000003
225,ORD00000076,PROD00002166,3,5,37.87,15.15,,
226,ORD00000076,PROD00002791,4,7,30.45,12.18,1.59,202.01999999999998
227,ORD00000076,PROD00000729,5,3,37.95,15.18,5.44,97.53000000000002
228,ORD00000077,PROD00001274,1,1,48.12,19.25,,
229,ORD00000077,PROD00004553,2,8,19.13,7.65,0.86,146.16
230,ORD00000077,PROD00001234,3,1,43.49,17.4,6.07,37.42
231,ORD00000077,PROD00003431,4,1,49.68,19.87,,
232,ORD00000078,PROD00003241,1,3,37.64,15.06,4.44,99.60000000000001
233,ORD00000079,PROD00002390,1,7,17.49,7.0,,
234,ORD00000079,PROD00003413,2,6,32.09,12.84,3.26,172.98000000000002
235,ORD00000079,PROD00004226,3,3,35.77,14.31,3.6,96.51
236,ORD00000079,PROD00000760,4,8,39.38,15.75,,
237,ORD00000080,PROD00001986,1,10,41.81,16.72,,
238,ORD00000080,PROD00000783,2,9,49.99,20.0,5.93,396.54
239,ORD00000081,PROD00002923,1,6,18.43,7.37,2.67,94.56
240,ORD00000081,PROD00004268,2,3,14.08,5.63,1.47,37.83
241,ORD00000081,PROD00001572,3,9,30.09,12.04,2.95,244.26
242,ORD00000081,PROD00001142,4,1,19.98,7.99,1.6,18.38
243,ORD00000082,PROD00001269,1,5,34.96,13.98,0.7,171.29999999999998
244,ORD00000083,PROD00003885,1,2,15.28,6.11,1.89,26.779999999999998
245,ORD00000083,PROD00004792,2,1,19.47,7.79,,
246,ORD00000083,PROD00002069,3,8,27.71,11.08,,
247,ORD00000083,PROD00004138,4,10,33.51,13.4,3.75,297.59999999999997
248,ORD00000083,PROD00004900,5,3,13.58,5.43,1.62,35.88
249,ORD00000084,PROD00004174,1,9,32.04,12.82,2.94,261.9
250,ORD00000084,PROD00004049,2,9,24.21,9.68,3.28,188.37
251,ORD00000084,PROD00002256,3,6,18.84,7.54,1.27,105.42
252,ORD00000084,PROD00004907,4,5,47.99,19.2,,
253,ORD00000084,PROD00000236,5,7,34.45,13.78,,
254,ORD00000085,PROD00002287,1,10,32.92,13.17,2.03,308.9
255,ORD00000085,PROD00001543,2,10,42.74,17.1,6.1,366.4
256,ORD00000085,PROD00002598,3,9,17.9,7.16,1.52,147.42
257,ORD00000086,PROD00003377,1,8,16.26,6.5,2.33,111.44000000000001
258,ORD00000086,PROD00003000,2,6,37.84,15.14,1.01,220.98000000000002
259,ORD00000086,PROD00002942,3,7,16.53,6.61,,
260,ORD00000087,PROD00002917,1,5,28.33,11.33,1.33,135.0
261,ORD00000087,PROD00000814,2,8,46.89,18.76,1.27,364.96
262,ORD00000088,PROD00003596,1,7,10.11,4.04,0.22,69.22999999999999
263,ORD00000088,PROD00001930,2,4,19.58,7.83,0.09,77.96
264,ORD00000089,PROD00002923,1,8,38.4,15.36,5.52,263.03999999999996
265,ORD00000089,PROD00000270,2,2,39.23,15.69,,
266,ORD00000089,PROD00004704,3,1,40.02,16.01,,
267,ORD00000090,PROD00002995,1,3,17.85,7.14,0.69,51.480000000000004
268,ORD00000090,PROD00003617,2,1,22.77,9.11,,
269,ORD00000090,PROD00003141,3,4,44.27,17.71,3.83,161.76000000000002
270,ORD00000090,PROD00002722,4,6,25.75,10.3,1.4,146.10000000000002
271,ORD00000090,PROD00002307,5,2,10.5,4.2,0.37,20.26
272,ORD00000091,PROD00002292,1,1,45.44,18.18,,
273,ORD00000091,PROD00004279,2,2,46.64,18.66,1.92,89.44
274,ORD00000092,PROD00004745,1,9,12.77,5.11,0.35,111.78
275,ORD00000092,PROD00002918,2,4,27.6,11.04,2.4,100.80000000000001
276,ORD00000093,PROD00000948,1,10,36.75,14.7,5.15,316.0
277,ORD00000093,PROD00002164,2,7,49.37,19.75,3.64,320.10999999999996
278,ORD00000093,PROD00004193,3,3,49.22,19.69,2.27,140.85
279,ORD00000093,PROD00001958,4,5,45.42,18.17,1.41,220.05
280,ORD00000093,PROD00003691,5,1,35.12,14.05,,
281,ORD00000094,PROD00002964,1,9,38.04,15.22,1.79,326.25
282,ORD00000094,PROD00001714,2,10,49.39,19.76,3.05,463.40000000000003
283,ORD00000094,PROD00002946,3,1,45.02,18.01,1.17,43.85
284,ORD00000094,PROD00002222,4,8,23.64,9.46,2.26,171.04000000000002
285,ORD00000094,PROD00002429,5,10,48.47,19.39,4.38,440.9
286,ORD00000095,PROD00000820,1,5,12.67,5.07,0.82,59.25
287,ORD00000095,PROD00000949,2,7,19.69,7.88,,
288,ORD00000096,PROD00003137,1,4,20.11,8.04,1.68,73.72
289,ORD00000096,PROD00004730,2,10,38.12,15.25,1.9,362.2
290,ORD00000096,PROD00000936,3,9,24.47,9.79,0.96,211.58999999999997
291,ORD00000096,PROD00004706,4,6,26.39,10.56,1.37,150.12
292,ORD00000097,PROD00000638,1,1,10.85,4.34,0.83,10.02
293,ORD00000097,PROD00002576,2,5,11.7,4.68,,
294,ORD00000097,PROD00003914,3,2,45.83,18.33,,
295,ORD00000097,PROD00001116,4,9,13.09,5.24,1.26,106.47
296,ORD00000097,PROD00004255,5,8,22.17,8.87,0.2,175.76000000000002
297,ORD00000098,PROD00001017,1,1,45.15,18.06,5.07,40.08
298,ORD00000098,PROD00001953,2,3,14.19,5.68,1.15,39.12
299,ORD00000099,PROD00004076,1,9,25.1,10.04,0.2,224.10000000000002
300,ORD00000100,PROD00002505,1,5,35.52,14.21,,
301,ORD00000100,PROD00003327,2,4,33.27,13.31,2.72,122.20000000000002
302,ORD00000100,PROD00001445,3,6,37.73,15.09,3.59,204.84
303,ORD00000101,PROD00002629,1,1,24.67,9.87,1.93,22.740000000000002
304,ORD00000101,PROD00003303,2,7,20.87,8.35,,
305,ORD00000102,PROD00000251,1,10,32.74,13.1,4.69,280.5
306,ORD00000102,PROD00000473,2,1,11.83,4.73,1.24,10.59
307,ORD00000103,PROD00002449,1,3,42.64,17.06,2.86,119.34
308,ORD00000103,PROD00001518,2,1,36.17,14.47,2.37,33.800000000000004
309,ORD00000103,PROD00004325,3,8,15.76,6.3,1.62,113.12
310,ORD00000104,PROD00003324,1,7,11.15,4.46,1.26,69.23
311,ORD00000104,PROD00003754,2,3,48.47,19.39,6.03,127.32
312,ORD00000104,PROD00002697,3,7,14.95,5.98,2.04,90.37
313,ORD00000105,PROD00000437,1,10,37.19,14.88,0.52,366.69999999999993
314,ORD00000105,PROD00004654,2,9,36.45,14.58,,
315,ORD00000105,PROD00001148,3,10,36.81,14.72,0.46,363.5
316,ORD00000106,PROD00002644,1,9,48.31,19.32,,
317,ORD00000106,PROD00000875,2,6,41.53,16.61,3.44,228.54000000000002
318,ORD00000106,PROD00003215,3,3,14.37,5.75,1.36,39.03
319,ORD00000106,PROD00003410,4,4,13.07,5.23,1.87,44.8
320,ORD00000106,PROD00001775,5,5,17.14,6.86,,
321,ORD00000107,PROD00001969,1,4,37.23,14.89,1.96,141.07999999999998
322,ORD00000108,PROD00001900,1,7,49.57,19.83,0.32,344.75
323,ORD00000108,PROD00000828,2,2,27.34,10.94,,
324,ORD00000109,PROD00002099,1,9,25.56,10.22,0.39,226.52999999999997
325,ORD00000109,PROD00002931,2,8,47.56,19.02,,
326,ORD00000109,PROD00004310,3,4,36.3,14.52,0.3,144.0
327,ORD00000110,PROD00002455,1,8,48.49,19.4,,
328,ORD00000110,PROD00000195,2,6,39.41,15.76,1.23,229.07999999999998
329,ORD00000110,PROD00002280,3,1,44.16,17.66,2.94,41.22
330,ORD00000110,PROD00004543,4,1,32.52,13.01,4.73,27.790000000000003
331,ORD00000110,PROD00000320,5,6,24.66,9.86,1.8,137.16
332,ORD00000111,PROD00000665,1,5,25.27,10.11,,
333,ORD00000111,PROD00004402,2,2,30.44,12.18,0.21,60.46
334,ORD00000111,PROD00000719,3,3,10.13,4.05,1.03,27.300000000000004
335,ORD00000111,PROD00002933,4,7,12.77,5.11,,
336,ORD00000111,PROD00000372,5,6,21.55,8.62,2.82,112.38
337,ORD00000112,PROD00003921,1,5,12.29,4.92,1.7,52.95
338,ORD00000113,PROD00004575,1,7,41.78,16.71,,
339,ORD00000113,PROD00000751,2,6,25.64,10.26,,
340,ORD00000113,PROD00002108,3,8,24.83,9.93,,
341,ORD00000114,PROD00002180,1,8,18.28,7.31,0.73,140.4
342,ORD00000114,PROD00004056,2,1,48.2,19.28,1.24,46.96
343,ORD00000115,PROD00001065,1,9,34.12,13.65,2.85,281.42999999999995
344,ORD00000115,PROD00004483,2,10,21.55,8.62,1.42,201.3
345,ORD00000115,PROD00000486,3,8,24.16,9.66,,
346,ORD00000115,PROD00000534,4,8,20.89,8.36,,
347,ORD00000115,PROD00000971,5,5,20.87,8.35,0.8,100.35
348,ORD00000116,PROD00001822,1,4,39.22,15.69,,
349,ORD00000117,PROD00002231,1,9,43.05,17.22,3.73,353.88
350,ORD00000117,PROD00001556,2,8,17.15,6.86,,
351,ORD00000117,PROD00001061,3,10,24.4,9.76,3.55,208.49999999999997
352,ORD00000117,PROD00002002,4,8,28.52,11.41,0.1,227.35999999999999
353,ORD00000117,PROD00002203,5,3,38.92,15.57,,
354,ORD00000118,PROD00003797,1,6,20.7,8.28,2.68,108.12
355,ORD00000118,PROD00001434,2,2,45.98,18.39,,
356,ORD00000118,PROD00002194,3,6,28.28,11.31,,
357,ORD00000118,PROD00000236,4,10,32.07,12.83,,
358,ORD00000119,PROD00002998,1,9,38.82,15.53,0.58,344.16
359,ORD00000120,PROD00004010,1,1,38.49,15.4,2.23,36.260000000000005
360,ORD00000121,PROD00004152,1,1,41.68,16.67,4.14,37.54
361,ORD00000121,PROD00002910,2,8,24.54,9.82,,
362,ORD00000121,PROD00004046,3,5,34.56,13.82,1.27,166.45
363,ORD00000121,PROD00000308,4,3,43.07,17.23,4.21,116.58
364,ORD00000122,PROD00004068,1,10,35.31,14.12,2.68,326.3
365,ORD00000123,PROD00003733,1,10,16.81,6.72,,
366,ORD00000123,PROD00003168,2,9,19.95,7.98,2.88,153.63
367,ORD00000124,PROD00001523,1,6,47.28,18.91,2.24,270.24
368,ORD00000124,PROD00004611,2,9,40.21,16.08,,
369,ORD00000125,PROD00003264,1,2,19.09,7.64,,
370,ORD00000126,PROD00000430,1,5,46.12,18.45,,
371,ORD00000126,PROD00002962,2,1,10.97,4.39,1.43,9.540000000000001
372,ORD00000126,PROD00000826,3,6,10.25,4.1,,
373,ORD00000127,PROD00003371,1,9,46.15,18.46,,
374,ORD00000127,PROD00004472,2,1,16.99,6.8,2.47,14.519999999999998
375,ORD00000127,PROD00001702,3,4,49.78,19.91,2.01,191.08
376,ORD00000127,PROD00001474,4,9,12.04,4.82,0.42,104.58
377,ORD00000128,PROD00000445,1,1,25.87,10.35,2.64,23.23
378,ORD00000128,PROD00004443,2,10,26.11,10.44,3.19,229.2
379,ORD00000128,PROD00002175,3,7,25.97,10.39,2.5,164.29
380,ORD00000129,PROD00001149,1,2,38.49,15.4,,
381,ORD00000130,PROD00001574,1,7,34.21,13.68,3.12,217.63
382,ORD00000130,PROD00002531,2,7,36.54,14.62,,
383,ORD00000130,PROD00004958,3,6,36.83,14.73,5.09,190.44
384,ORD00000130,PROD00001623,4,1,30.37,12.15,1.71,28.66
385,ORD00000130,PROD00003182,5,4,13.0,5.2,0.32,50.72
386,ORD00000131,PROD00001956,1,5,45.78,18.31,6.82,194.8
387,ORD00000131,PROD00003975,2,7,41.86,16.74,5.4,255.22
388,ORD00000131,PROD00002155,3,6,28.26,11.3,1.49,160.62
389,ORD00000131,PROD00003784,4,1,31.92,12.77,,
390,ORD00000132,PROD00004208,1,7,47.47,18.99,1.72,320.25
391,ORD00000132,PROD00001331,2,3,43.91,17.56,,
392,ORD00000132,PROD00000342,3,6,36.18,14.47,1.63,207.29999999999998
393,ORD00000132,PROD00004510,4,10,17.1,6.84,,
394,ORD00000133,PROD00001040,1,5,39.99,16.0,2.2,188.95
395,ORD00000133,PROD00003310,2,8,32.03,12.81,0.08,255.60000000000002
396,ORD00000133,PROD00001391,3,2,40.56,16.22,,
397,ORD00000133,PROD00003201,4,7,48.43,19.37,,
