spend_key,campaign_id,channel_id,spend_date,amount_spent,spend_category,notes
131,CAMP00000002,CH  00000001,2021-09-18,193.1,Media,
132,CAMP00000002,CH00000001,2021-09-19,159.2,Creative,
133,camp00000002,CH00000003,2021-09-19,163.87,Agency,
134,CAMP00000002,CH00000012,2021-09-19,240.83,Creative,
135,CAMP00000002,CH00000013,2021-09-20,177.15,Agency,
136,CAMP00000002,CH00000004,2021-09-20,207.69,Agency,
137,CAMP00000002,CH00000007,2021-09-21,186.48,Agency,
138,CAMP00000002,CH00000003,2021-09-21,260.14,Platform,
139,CAMP00000002,CH00000006,2021-09-22,237.92,Platform,
140,CAMP00000002,CH00000013,2021-09-23,228.16,Media,
141,CAMP00000002,CH00000014,2021-09-23,228.24,Media,
142,CAMP  00000002,CH00000013,2021-09-24,158.95,Agency,
143,camp00000002,CH00000005,2021-09-24,162.09,Platform,
144,CAMP00000002,CH00000013,2021-09-24,247.03,Media,
145,CAMP00000002,CH00000004,2021-09-25,225.97,Agency,
146,CAMP00000002,CH00000001,2021-09-26,184.17,Creative,
147,CAMP00000002,CH00000011,2021-09-27,146.13,Platform,
148,CAMP00000002,CH00000013,2021-09-28,141.6,Media,
149,CAMP00000002,CH00000015,2021-09-28,255.6,Media,
150,CAMP00000002,CH00000008,2021-09-28,180.55,Platform,
151,CAMP00000002,CH00000009,2021-09-29,210.08,Media,
152,CAMP00000002,CH  00000015,2021-09-29,241.43,Creative,
153,CAMP00000002,CH00000001,2021-09-29,183.95,Media,
154,CAMP00000002,CH00000002,2021-09-30,253.7,Platform,
155,CAMP00000002,CH00000015,2021-09-30,202.22,Creative,
156,CAMP00000002,CH00000003,2021-10-01,170.76,Agency,
157,CAMP00000002,CH00000002,2021-10-02,235.9,Creative,
158,CAMP00000002,CH00000004,2021-10-02,233.77,Platform,
159,CAMP00000002,CH00000011,2021-10-03,209.98,Agency,
160,CAMP00000002,CH00000005,2021-10-03,147.88,Media,
161,CAMP00000002,CH00000006,2021-10-04,235.37,Agency,
162,CAMP00000002,CH00000009,2021-10-04,168.56,Platform,
163,CAMP  00000002,ch00000012,2021-10-04,201.95,Creative,
164,CAMP00000002,CH00000005,2021-10-05,247.8,Media,
165,CAMP00000002,CH00000009,2021-10-05,224.17,Media,
166,camp00000002,CH00000015,2021-10-05,145.46,Agency,
167,CAMP00000002,CH00000009,2021-10-06,249.41,Agency,
168,CAMP  00000002,CH00000004,2021-10-06,177.43,Agency,
169,CAMP00000002,CH00000009,2021-10-06,203.85,Platform,
170,CAMP00000002,CH00000010,2021-10-07,208.12,Agency,
171,CAMP00000002,CH00000008,2021-10-07,166.0,Platform,
172,CAMP00000002,CH00000002,2021-10-07,159.39,Platform,
173,CAMP00000002,CH00000011,2021-10-08,199.51,Creative,
174,CAMP00000002,CH00000010,2021-10-08,219.82,Media,
175,CAMP00000002,CH00000007,2021-10-08,247.98,Creative,
176,CAMP00000002,CH00000005,2021-10-09,222.11,Creative,
177,CAMP  00000002,CH00000003,2021-10-10,213.55,Creative,
178,CAMP00000002,CH00000008,2021-10-11,207.46,Creative,
179,CAMP00000002,CH00000004,2021-10-11,248.9,Agency,
180,CAMP00000002,CH00000010,2021-10-11,235.28,Agency,
181,CAMP00000002,CH00000013,2021-10-12,253.05,Platform,
182,CAMP00000002,CH  00000003,2021-10-12,185.95,Agency,
183,CAMP00000002,CH00000012,2021-10-13,209.48,Platform,
184,CAMP00000002,CH00000014,2021-10-13,164.9,Media,
185,CAMP00000002,CH00000007,2021-10-14,192.74,Platform,
186,CAMP00000002,CH00000006,2021-10-15,165.86,Agency,
187,CAMP00000002,CH00000015,2021-10-15,220.13,Agency,
188,CAMP00000002,CH00000005,2021-10-15,229.11,,
189,CAMP00000002,CH00000004,2021-10-16,214.95,Media,
190,CAMP00000002,CH00000009,2021-10-16,254.54,Media,
191,CAMP00000002,CH00000010,2021-10-16,231.15,Platform,
192,CAMP00000002,CH00000005,2021-10-17,259.15,Platform,
193,CAMP00000002,CH00000001,2021-10-17,254.27,Agency,
194,CAMP00000002,CH00000004,2021-10-18,158.56,Agency,
195,CAMP00000002,CH00000012,2021-10-18,175.44,Agency,
196,CAMP00000002,CH00000011,2021-10-18,170.59,Agency,
197,CAMP00000002,CH00000007,2021-10-19,160.38,Media,
198,CAMP00000002,CH00000001,2021-10-19,229.08,Media,
199,CAMP00000002,CH00000002,2021-10-20,224.64,Media,
200,CAMP00000002,CH00000014,2021-10-21,165.25,Platform,
201,CAMP00000002,CH00000001,2021-10-21,226.59,Agency,
202,CAMP00000002,CH00000005,2021-10-22,191.69,Media,
203,CAMP00000002,CH00000005,2021-10-22,194.23,Creative,
204,CAMP00000002,CH00000006,2021-10-23,259.89,Agency,
205,CAMP00000002,CH00000004,2021-10-24,229.38,Media,
206,CAMP00000002,CH00000003,2021-10-24,240.05,Agency,
207,CAMP00000002,CH00000005,2021-10-24,251.76,Platform,
208,CAMP00000002,CH00000014,2021-10-25,178.76,Agency,
209,CAMP00000002,CH00000009,2021-10-25,167.79,Platform,
210,CAMP00000002,CH00000006,2021-10-26,166.62,Platform,
211,CAMP00000002,CH00000007,2021-10-27,153.15,Platform,
212,CAMP00000002,CH00000005,2021-10-28,217.06,Agency,
213,CAMP00000002,CH00000007,2021-10-28,259.58,Agency,
214,CAMP00000002,CH00000008,2021-10-28,170.58,Agency,
215,CAMP00000002,CH00000014,2021-10-29,250.4,Media,
216,CAMP00000002,CH00000011,2021-10-29,140.8,Creative,
217,CAMP00000002,CH00000008,2021-10-30,222.67,Agency,
218,CAMP00000002,CH00000012,2021-10-30,177.23,Creative,
219,CAMP00000002,CH00000002,2021-10-30,227.11,Platform,
220,CAMP00000002,CH00000010,2021-10-31,175.05,Creative,
221,CAMP00000002,CH00000006,2021-10-31,157.44,Creative,
222,CAMP00000002,CH00000007,2021-10-31,152.93,Creative,
223,CAMP00000002,CH00000009,2021-11-01,239.86,Platform,
224,CAMP00000002,CH00000006,2021-11-01,189.31,Media,
225,CAMP00000002,CH00000006,2021-11-02,149.56,Platform,
226,CAMP00000002,CH00000001,2021-11-02,168.4,Media,
227,CAMP00000002,CH00000002,2021-11-03,172.73,Platform,
228,CAMP00000002,CH00000013,2021-11-03,218.48,Agency,
229,CAMP00000002,CH00000009,2021-11-04,159.68,Agency,
230,CAMP00000002,CH  00000007,2021-11-04,170.07,Agency,
231,CAMP00000002,CH00000013,2021-11-05,225.4,Creative,
232,CAMP00000002,CH00000011,2021-11-05,143.33,Platform,
233,CAMP00000002,CH00000003,2021-11-06,199.32,Platform,
234,CAMP  00000002,CH00000013,2021-11-07,176.72,Media,
235,CAMP00000002,CH00000004,2021-11-07,258.02,Media,
236,CAMP00000002,CH00000011,2021-11-07,156.21,Platform,
237,CAMP  00000002,CH00000009,2021-11-08,250.4,Agency,
238,CAMP00000002,CH00000007,2021-11-08,178.15,Media,
239,CAMP00000002,CH00000012,2021-11-09,221.97,Agency,
240,CAMP00000002,CH  00000009,2021-11-10,206.09,Media,
241,CAMP00000002,CH00000012,2021-11-10,177.45,Platform,
242,CAMP00000002,CH00000002,2021-11-11,205.06,Creative,
243,CAMP00000002,CH00000006,2021-11-11,191.02,Media,
244,CAMP00000002,CH00000003,2021-11-12,191.88,Platform,
245,CAMP00000002,CH00000013,2021-11-13,213.28,Platform,
246,camp00000002,CH00000012,2021-11-13,182.36,Creative,
247,CAMP00000002,CH00000005,2021-11-13,177.47,Platform,
248,CAMP00000002,CH00000010,2021-11-14,153.56,Agency,
249,CAMP00000002,CH  00000006,2021-11-15,256.72,Creative,
250,CAMP00000002,CH00000009,2021-11-15,172.19,Agency,
251,CAMP00000002,ch00000015,2021-11-16,240.04,Media,
252,CAMP00000002,CH00000006,2021-11-17,171.01,Agency,
253,CAMP00000002,CH00000004,2021-11-17,172.01,Agency,
254,CAMP00000002,CH00000010,2021-11-17,148.47,Agency,
255,CAMP00000002,CH00000004,2021-11-18,175.6,Media,
256,CAMP00000002,CH00000007,2021-11-18,192.9,Agency,
257,CAMP00000002,CH00000014,2021-11-18,142.12,Creative,
258,CAMP00000002,CH00000006,2021-11-19,182.7,Platform,
259,CAMP00000002,CH00000008,2021-11-19,253.56,Media,
260,CAMP00000002,CH00000012,2021-11-20,199.45,Media,
261,CAMP00000003,CH00000009,2022-07-06,480.51,Agency,
262,CAMP00000003,ch00000004,2022-07-06,463.3,Media,
263,CAMP00000003,CH00000005,2022-07-07,425.09,Media,
264,CAMP00000003,CH00000012,2022-07-07,580.19,Creative,
265,CAMP00000003,CH00000009,2022-07-08,522.13,Media,
266,CAMP00000003,CH00000006,2022-07-08,696.09,Platform,
267,CAMP00000003,CH00000007,2022-07-09,591.68,Creative,
268,CAMP00000003,CH00000001,2022-07-09,598.74,Agency,
269,CAMP00000003,CH00000003,2022-07-09,539.77,Platform,
270,CAMP00000003,CH00000010,2022-07-10,535.51,Agency,
271,CAMP00000003,CH00000007,2022-07-10,596.93,Platform,
272,CAMP00000003,CH00000001,2022-07-11,665.13,Creative,
273,CAMP00000003,CH  00000015,2022-07-11,676.72,Platform,
274,CAMP00000003,CH00000001,2022-07-12,457.06,Platform,
275,CAMP00000003,CH00000007,2022-07-13,702.32,Agency,
276,CAMP00000003,CH00000012,2022-07-13,701.4,Platform,
277,CAMP00000003,CH  00000009,2022-07-13,559.6,Platform,
278,CAMP00000003,CH00000014,2022-07-14,559.58,Agency,
279,CAMP00000003,CH00000015,2022-07-14,627.46,Creative,
280,CAMP00000003,CH  00000006,2022-07-15,476.64,Platform,
281,CAMP00000003,CH00000004,2022-07-15,728.4,Creative,
282,CAMP00000003,CH00000009,2022-07-16,426.21,Agency,
283,CAMP00000003,CH00000012,2022-07-17,597.61,Creative,
284,CAMP00000003,CH00000004,2022-07-17,518.25,Platform,
285,CAMP00000003,CH00000003,2022-07-18,582.83,Agency,
286,CAMP00000003,CH00000006,2022-07-18,605.38,Agency,
287,CAMP00000003,CH00000011,2022-07-18,618.02,Creative,
288,CAMP00000003,CH  00000012,2022-07-19,545.81,Platform,
289,camp00000003,ch00000003,2022-07-20,692.28,Media,
290,CAMP00000003,CH00000005,2022-07-20,442.94,Agency,
291,CAMP00000003,CH  00000008,2022-07-21,719.36,Media,
292,CAMP00000003,CH00000003,2022-07-21,583.82,Creative,
293,CAMP00000003,CH00000008,2022-07-21,481.85,Creative,
294,CAMP00000003,CH  00000006,2022-07-22,693.49,Agency,
295,CAMP00000003,CH00000006,2022-07-22,674.78,Creative,
296,CAMP00000003,CH00000008,2022-07-22,542.07,Creative,
297,CAMP00000003,CH00000009,2022-07-23,539.21,Creative,
298,CAMP00000003,CH00000015,2022-07-23,456.23,Media,
299,CAMP00000003,CH00000013,2022-07-24,675.48,Creative,
300,CAMP00000003,CH00000009,2022-07-25,686.22,Media,
301,CAMP00000003,CH00000003,2022-07-25,589.9,Platform,
302,CAMP00000003,CH00000002,2022-07-25,423.56,,
303,CAMP00000003,CH00000002,2022-07-26,645.77,Media,
304,CAMP00000003,CH00000009,2022-07-26,415.18,Agency,
305,CAMP00000003,CH00000010,2022-07-27,429.95,Media,
306,CAMP00000003,CH00000014,2022-07-28,523.63,Creative,
307,CAMP00000003,ch00000005,2022-07-29,500.8,Agency,
308,CAMP00000003,CH00000003,2022-07-29,624.15,Creative,
309,CAMP00000003,CH00000006,2022-07-29,639.75,Agency,
310,CAMP00000003,CH00000003,2022-07-30,548.29,Creative,
311,camp  00000003,CH00000004,2022-07-31,555.62,Creative,
312,CAMP00000003,CH00000011,2022-07-31,696.94,Platform,
313,CAMP00000003,ch00000001,2022-07-31,468.84,Media,
314,CAMP00000003,CH00000004,2022-08-01,641.58,Creative,
315,CAMP00000003,CH  00000004,2022-08-02,678.39,Creative,
316,CAMP00000003,CH00000011,2022-08-02,479.08,Agency,
317,CAMP00000003,CH00000012,2022-08-03,730.74,Creative,
318,CAMP00000003,CH00000010,2022-08-04,504.69,Agency,
319,CAMP00000003,CH00000010,2022-08-04,467.68,Media,
320,CAMP00000003,CH00000001,2022-08-05,440.3,Media,
321,CAMP00000003,CH00000004,2022-08-05,511.15,Media,
322,CAMP00000003,CH00000001,2022-08-05,561.48,Media,
323,CAMP00000003,CH00000002,2022-08-06,586.77,Agency,
324,CAMP00000003,CH00000007,2022-08-07,491.4,Platform,
325,CAMP00000003,CH00000001,2022-08-07,618.69,Media,
326,CAMP00000003,CH00000014,2022-08-07,610.67,Agency,
327,CAMP00000004,CH00000015,2021-12-10,115.22,Platform,
328,CAMP00000004,CH00000010,2021-12-10,125.37,Creative,
329,CAMP00000004,ch00000003,2021-12-10,135.12,Creative,
330,CAMP00000004,CH00000001,2021-12-11,152.75,Creative,
331,CAMP00000004,CH00000007,2021-12-12,174.4,Media,
332,CAMP00000004,CH00000008,2021-12-13,119.96,Platform,
333,CAMP00000004,CH00000011,2021-12-13,153.96,Platform,
334,CAMP00000004,CH00000006,2021-12-14,176.54,Creative,
335,CAMP00000004,CH00000007,2021-12-15,113.28,Media,
336,CAMP00000004,CH00000005,2021-12-15,111.1,Media,
337,CAMP00000004,CH00000005,2021-12-16,172.17,Agency,
338,CAMP00000004,CH00000007,2021-12-16,166.19,Creative,
339,CAMP00000004,CH00000012,2021-12-16,149.64,Agency,
340,CAMP00000004,CH00000009,2021-12-17,173.68,Agency,
341,CAMP00000004,CH00000004,2021-12-18,127.48,Creative,
342,CAMP00000004,CH00000007,2021-12-19,108.62,Agency,
343,CAMP00000004,CH00000009,2021-12-19,108.96,Media,
344,camp00000004,CH  00000013,2021-12-19,126.54,Platform,
345,CAMP00000004,CH00000014,2021-12-20,143.61,Agency,
346,CAMP00000004,CH00000007,2021-12-21,108.12,Agency,
347,CAMP00000004,CH00000004,2021-12-22,171.32,Agency,
348,CAMP00000004,CH00000006,2021-12-22,149.74,Agency,
349,CAMP00000004,CH  00000004,2021-12-23,132.22,Creative,
350,CAMP00000004,CH00000015,2021-12-23,179.1,Media,
351,camp00000004,CH00000005,2021-12-23,176.26,Creative,
352,CAMP00000004,CH00000004,2021-12-24,107.66,,
353,camp00000004,CH00000009,2021-12-24,153.12,Agency,
354,CAMP00000004,CH00000014,2021-12-25,176.96,Agency,
355,CAMP  00000004,CH00000013,2021-12-25,102.72,Media,
356,CAMP00000004,CH00000007,2021-12-26,124.79,Creative,
357,CAMP00000004,CH00000009,2021-12-27,140.38,Media,
358,CAMP00000004,CH00000006,2021-12-27,147.63,Creative,
359,CAMP00000004,CH00000003,2021-12-27,173.66,Media,
360,CAMP00000004,CH00000012,2021-12-28,132.4,Media,
361,CAMP00000004,CH00000010,2021-12-28,138.85,Media,
362,CAMP00000004,CH00000013,2021-12-29,119.64,Platform,
363,CAMP00000004,CH00000012,2021-12-30,160.55,Agency,
364,CAMP00000004,CH00000007,2021-12-31,140.58,Platform,
365,CAMP00000004,CH00000015,2022-01-01,166.19,Media,
366,CAMP00000004,CH00000012,2022-01-01,133.3,Media,
367,CAMP00000004,CH00000012,2022-01-02,105.82,Creative,
368,CAMP00000004,CH00000013,2022-01-02,180.63,Platform,
369,CAMP00000004,CH00000006,2022-01-02,129.95,Creative,
370,CAMP00000004,CH00000010,2022-01-03,131.37,Creative,
371,CAMP00000004,CH  00000006,2022-01-03,150.88,Agency,
372,CAMP00000004,CH00000015,2022-01-03,165.97,Platform,
373,CAMP00000004,CH00000004,2022-01-04,152.02,Media,
374,CAMP00000004,CH00000015,2022-01-05,116.99,Media,
375,CAMP00000004,CH00000004,2022-01-06,156.8,Agency,
376,camp00000004,CH00000007,2022-01-06,130.02,Creative,
377,CAMP00000004,CH00000010,2022-01-06,106.18,Media,
378,CAMP00000004,CH00000006,2022-01-07,163.72,Agency,
379,CAMP00000004,CH00000005,2022-01-07,184.43,Creative,
380,CAMP00000004,CH00000004,2022-01-07,178.04,Media,
381,CAMP00000004,CH00000013,2022-01-08,130.06,Media,
382,CAMP00000004,CH00000009,2022-01-08,140.94,Media,
383,CAMP00000004,CH00000011,2022-01-08,115.66,Creative,
384,CAMP00000004,CH00000005,2022-01-09,122.7,Media,
385,CAMP00000004,CH00000011,2022-01-09,116.17,Media,
386,CAMP00000004,CH00000013,2022-01-09,126.44,Platform,
387,CAMP00000004,CH00000011,2022-01-10,157.29,Creative,
388,CAMP00000004,CH00000010,2022-01-10,129.23,Creative,
389,CAMP00000004,CH00000002,2022-01-11,117.78,Platform,
390,CAMP  00000004,CH00000007,2022-01-11,183.96,Platform,
391,CAMP00000004,ch00000006,2022-01-12,160.68,Media,
392,CAMP00000004,CH00000005,2022-01-12,161.27,Media,
393,CAMP00000004,CH00000005,2022-01-13,168.63,Agency,
394,CAMP00000004,CH00000011,2022-01-13,107.32,Creative,
395,CAMP  00000004,CH  00000008,2022-01-14,173.7,Platform,
396,CAMP00000004,CH00000015,2022-01-15,147.79,Creative,
397,CAMP00000004,CH00000003,2022-01-16,173.18,Platform,
398,CAMP00000004,CH00000015,2022-01-16,136.87,Agency,
399,CAMP00000004,CH00000012,2022-01-16,172.58,Platform,
400,CAMP00000004,CH00000005,2022-01-17,149.87,Platform,
401,CAMP00000004,CH00000014,2022-01-18,113.34,Creative,
402,camp00000004,CH00000015,2022-01-19,119.71,Platform,
403,CAMP00000004,CH00000014,2022-01-19,183.37,Creative,
404,CAMP00000004,CH00000011,2022-01-20,131.29,Media,
405,CAMP00000004,CH00000006,2022-01-20,120.7,Agency,
406,CAMP00000004,CH00000002,2022-01-21,119.65,Platform,
407,camp00000004,CH00000013,2022-01-21,169.86,Creative,
408,CAMP00000004,CH  00000006,2022-01-22,103.19,Media,
409,CAMP00000004,CH00000010,2022-01-23,105.53,Platform,
410,CAMP00000004,CH00000012,2022-01-23,112.47,Creative,
411,CAMP00000004,CH00000008,2022-01-23,138.03,Agency,
412,CAMP00000004,CH  00000008,2022-01-24,145.02,Media,
413,CAMP00000004,CH00000003,2022-01-24,164.32,Creative,
414,CAMP00000004,CH00000008,2022-01-24,183.94,Creative,
415,CAMP00000004,CH00000007,2022-01-25,151.17,Creative,
416,CAMP00000004,CH00000007,2022-01-25,117.72,Agency,
417,CAMP00000004,CH00000014,2022-01-26,113.65,Creative,
418,CAMP00000004,CH00000010,2022-01-27,140.12,Creative,
419,CAMP00000004,CH00000011,2022-01-27,181.21,Platform,
420,CAMP00000004,CH00000004,2022-01-28,100.85,Creative,
421,CAMP  00000004,CH00000003,2022-01-28,129.04,Creative,
422,CAMP00000004,CH00000009,2022-01-29,156.62,Creative,
423,CAMP00000004,CH00000014,2022-01-29,103.92,Creative,
424,CAMP00000004,CH00000003,2022-01-29,119.71,Creative,
425,CAMP00000004,CH00000015,2022-01-30,145.38,Agency,
426,camp00000004,CH00000013,2022-01-30,102.79,Media,
427,CAMP00000004,CH00000006,2022-01-30,177.65,Agency,
428,CAMP00000004,CH00000005,2022-01-31,177.87,Creative,
429,camp00000004,CH00000007,2022-01-31,121.26,Platform,
430,CAMP00000004,CH00000015,2022-01-31,176.51,Creative,
431,CAMP00000004,CH00000002,2022-02-01,109.0,Media,
432,CAMP00000004,CH00000002,2022-02-02,110.24,Agency,
433,CAMP00000004,CH00000006,2022-02-02,160.04,Agency,
434,CAMP00000004,CH00000010,2022-02-03,149.34,Agency,
435,CAMP00000004,CH00000006,2022-02-04,177.23,Creative,
436,CAMP00000004,CH00000008,2022-02-05,104.52,Agency,
437,CAMP00000004,CH00000013,2022-02-05,156.26,Agency,
438,CAMP  00000004,CH  00000015,2022-02-05,151.5,Agency,
