impression_key,campaign_id,channel_id,impression_timestamp,impression_id,user_id,device_type,placement,creative_id,cost
39,CAMP00000001,CH00000009,2022-12-23 09:12:23,IMP00000039,USR00097963,Tablet,Story,CRE0034,0.0466
40,CAMP00000001,CH00000014,2023-02-17 09:02:32,IMP00000040,USR00015259,Mobile,Story,CRE0030,0.0385
41,CAMP00000001,CH00000006,2023-01-11 23:06:15,IMP00000041,USR00128848,Desktop,Sidebar,CRE0038,0.022
42,CAMP00000001,CH00000008,2023-01-23 11:56:03,IMP00000042,USR00142887,Tablet,Sidebar,CRE0028,0.0296
43,CAMP00000001,CH00000011,2022-12-26 04:49:32,IMP00000043,USR00138698,Mobile,Sidebar,CRE0048,
44,CAMP00000001,CH00000002,2023-01-19 04:26:15,IMP00000044,USR00147411,tablet  ,Story,CRE0004,0.0158
45,CAMP00000001,CH00000002,2023-01-01 05:01:57,IMP00000045,USR00111672,Desktop,Feed,CRE0036,0.0094
46,CAMP00000001,CH00000008,2023-01-20 17:53:57,IMP00000046,USR00070936,Desktop,Feed  ,CRE0039,0.0072
47,CAMP00000001,CH00000004,2023-02-04 02:48:54,IMP00000047,USR00115773,Tablet,Top Banner,CRE0034,0.0182
48,CAMP00000001,CH00000011,2023-02-11 11:00:18,IMP00000048,USR00070736,Mobile,Top Banner  ,CRE0005,0.0267
49,CAMP00000001,CH00000011,2023-01-18 06:51:52,IMP00000049,USR00086305,Tablet,Top Banner,CRE0036,
50,CAMP00000001,CH00000006,2023-01-16 00:40:01,IMP00000050,USR00113544,Mobile,Top Banner,CRE0014,0.0434
51,CAMP00000001,CH00000007,2023-02-09 12:27:29,IMP00000051,USR00124476,Tablet,Feed,CRE0033,0.0212
52,CAMP00000001,CH00000001,2023-01-15 14:37:12,IMP00000052,USR00004978,Mobile,Sidebar,CRE0041,0.0147
53,CAMP00000001,CH00000015,2023-01-25 08:23:16,IMP00000053,USR00128421,Mobile,Sidebar,CRE0015,0.0377
54,CAMP00000001,CH00000012,2022-12-26 00:36:48,IMP00000054,USR00140118,Desktop,Top Banner,CRE0008,0.0182
55,CAMP00000001,CH00000001,2023-01-23 12:15:01,IMP00000055,USR00031649,DESKTOP,Feed,CRE0010,0.048
56,CAMP00000001,CH00000011,2022-12-25 05:42:45,IMP00000056,USR00148433,Mobile,Story,CRE0029,0.0208
57,CAMP00000001,CH00000009,2023-01-07 00:43:50,IMP00000057,USR00039732,Mobile,Story,CRE0044,
58,CAMP00000001,CH00000003,2023-01-16 16:09:40,IMP00000058,USR00059985,Desktop,Top Banner,CRE0022,0.047
59,CAMP00000001,CH00000008,2023-01-12 20:55:37,IMP00000059,USR00006335,Desktop,Sidebar,CRE0006,0.0201
60,CAMP00000001,CH00000007,2023-01-04 08:30:48,IMP00000060,USR00145687,Tablet,  Feed,CRE0008,0.0117
61,CAMP00000001,CH00000009,2023-02-15 19:07:55,IMP00000061,USR00071677,Desktop,Top Banner,CRE0015,0.019
62,CAMP00000001,CH00000002,2023-01-30 07:03:39,IMP00000062,USR00090399,Mobile,Sidebar,CRE0041,0.0313
63,CAMP00000001,CH00000009,2022-12-28 05:31:49,IMP00000063,USR00022391,DESKTOP,Feed,CRE0036,0.0182
64,CAMP00000001,CH00000015,2023-01-09 06:33:57,IMP00000064,USR00029693,Mobile,Feed,CRE0040,0.0108
65,CAMP00000001,CH00000006,2023-01-17 06:52:18,IMP00000065,USR00006618,Mobile,Story,CRE0033,0.0245
66,CAMP00000001,CH00000004,2023-01-08 08:01:34,IMP00000066,USR00073697,MOBILE,Feed,CRE0035,0.0205
67,CAMP00000001,CH00000008,2023-02-12 09:48:44,IMP00000067,USR00042276,Mobile,Feed,CRE0022,0.017
68,CAMP00000001,CH00000011,2023-01-21 20:16:20,IMP00000068,USR00020307,DESKTOP,Sidebar,CRE0028,0.0345
69,CAMP00000001,CH00000007,2023-01-08 14:31:17,IMP00000069,USR00134415,Mobile,Top Banner,CRE0032,0.0171
70,CAMP00000001,CH00000003,2023-02-15 03:54:26,IMP00000070,USR00115626,Mobile,SIDEBAR,CRE0035,
71,CAMP00000001,CH00000006,2022-12-24 04:11:54,IMP00000071,USR00107837,Desktop,Sidebar,CRE0043,0.0208
72,CAMP00000001,CH00000001,2023-02-10 10:37:01,IMP00000072,USR00083494,Desktop,Story,CRE0018,0.021
73,CAMP00000001,CH00000011,2023-02-14 14:58:50,IMP00000073,USR00063474,Desktop,Sidebar,CRE0022,0.0212
74,CAMP00000001,CH00000006,2023-01-21 18:47:13,IMP00000074,USR00069891,Tablet,Top Banner,CRE0041,0.005
75,CAMP00000001,CH00000011,2022-12-22 04:39:42,IMP00000075,USR00022974,Desktop,Sidebar,CRE0022,0.0223
76,CAMP00000001,CH00000002,2022-12-25 10:58:10,IMP00000076,USR00052440,Desktop,Story,CRE0009,0.038
77,CAMP00000001,CH00000015,2023-01-29 19:21:13,IMP00000077,USR00070084,Desktop,Top Banner,CRE0018,0.0025
78,CAMP00000001,CH00000014,2022-12-30 14:19:21,IMP00000078,USR00140230,Desktop,Story,CRE0041,0.012
79,CAMP00000001,CH00000012,2022-12-22 04:35:32,IMP00000079,USR00037598,Mobile,Feed,CRE0041,0.0082
80,CAMP00000001,CH00000005,2023-01-17 22:59:31,IMP00000080,USR00138795,TABLET,SIDEBAR,CRE0030,0.0044
81,CAMP00000001,CH00000010,2023-01-17 19:33:58,IMP00000081,USR00115292,Tablet,Feed,CRE0005,0.0336
82,CAMP00000001,CH00000012,2023-01-02 16:19:43,IMP00000082,USR00128399,Mobile,Sidebar,CRE0046,0.0212
83,CAMP00000001,CH00000014,2023-01-26 15:04:50,IMP00000083,USR00043299,tablet,SIDEBAR,CRE0044,0.041
84,CAMP00000001,CH00000014,2022-12-22 13:02:43,IMP00000084,USR00091952,Desktop,  Feed,CRE0040,0.0175
85,CAMP00000001,CH00000006,2023-01-07 15:54:49,IMP00000085,USR00111112,Mobile,Sidebar,CRE0039,0.05
86,CAMP00000001,CH00000003,2023-01-13 22:39:20,IMP00000086,USR00002961,Desktop,Story,CRE0039,0.0049
87,CAMP00000001,CH00000008,2023-02-13 01:32:24,IMP00000087,USR00086659,Mobile,Story,CRE0006,0.0315
88,CAMP00000001,CH00000010,2023-01-29 18:32:46,IMP00000088,USR00085286,  Desktop,Sidebar,CRE0021,0.036
89,CAMP00000001,CH00000002,2023-01-30 13:08:40,IMP00000089,USR00020767,Mobile,Top Banner,CRE0024,0.0495
90,CAMP00000001,CH00000010,2023-01-15 14:31:39,IMP00000090,USR00062924,Mobile,Sidebar,CRE0041,0.0488
91,CAMP00000001,CH00000004,2022-12-26 15:47:44,IMP00000091,USR00103264,Tablet,Story,CRE0028,0.0171
92,CAMP00000001,CH00000011,2023-01-01 09:11:10,IMP00000092,USR00141841,Desktop,Feed  ,CRE0029,0.0258
93,CAMP00000001,CH00000002,2023-02-17 15:17:53,IMP00000093,USR00060100,Desktop,Sidebar,CRE0016,0.0145
94,CAMP00000001,CH00000009,2023-01-03 20:08:08,IMP00000094,USR00013777,Mobile,Feed,CRE0028,0.0077
95,CAMP00000001,CH00000008,2023-01-16 18:31:06,IMP00000095,USR00011881,Mobile,Feed,CRE0007,0.02
96,CAMP00000001,CH00000006,2023-02-04 22:24:12,IMP00000096,USR00065171,Desktop,Story,CRE0043,0.024
97,CAMP00000001,CH00000004,2023-02-14 06:25:08,IMP00000097,USR00057709,Desktop,Story,CRE0002,0.0448
98,CAMP00000001,CH00000012,2023-01-22 17:20:25,IMP00000098,USR00032913,Mobile,Feed,CRE0027,0.0493
99,CAMP00000001,CH00000010,2022-12-25 20:27:43,IMP00000099,USR00007627,Tablet,Feed  ,CRE0030,0.0057
100,CAMP00000001,CH00000004,2023-02-16 08:43:21,IMP00000100,USR00013131,Tablet,Top Banner,CRE0038,0.0151
101,CAMP00000001,CH00000013,2022-12-25 16:32:04,IMP00000101,USR00098451,Mobile,Top Banner,CRE0048,0.0421
102,CAMP00000001,CH00000011,2023-01-28 14:52:52,IMP00000102,USR00031363,Mobile,Story,CRE0026,0.042
103,CAMP00000001,CH00000007,2023-02-07 05:15:29,IMP00000103,USR00064037,Desktop  ,Feed,CRE0038,0.0459
104,CAMP00000001,CH00000012,2023-01-15 05:51:59,IMP00000104,USR00110439,Tablet,Sidebar,CRE0042,0.0298
105,CAMP00000001,CH00000002,2023-01-16 03:57:39,IMP00000105,USR00117756,Desktop,Top Banner,CRE0021,0.0401
106,CAMP00000001,CH00000005,2023-01-28 23:34:01,IMP00000106,USR00029284,Desktop,Top Banner,CRE0018,0.0451
107,CAMP00000001,CH00000012,2023-01-31 13:33:33,IMP00000107,USR00013879,Desktop,Sidebar,CRE0040,0.0496
108,CAMP00000001,CH00000003,2023-01-31 05:59:17,IMP00000108,USR00105564,Mobile,Feed,CRE0026,0.0324
109,CAMP00000001,CH00000011,2023-01-04 18:47:33,IMP00000109,USR00125534,Mobile,Feed,CRE0015,0.0071
110,CAMP00000001,CH00000012,2023-01-25 00:51:56,IMP00000110,USR00096656,Mobile,SIDEBAR,CRE0025,0.0094
111,CAMP00000001,CH00000015,2023-01-12 19:53:14,IMP00000111,USR00126015,Mobile,Sidebar,CRE0047,0.0339
112,CAMP00000001,CH00000008,2023-01-01 04:57:16,IMP00000112,USR00050258,Tablet,Top Banner,CRE0013,0.0492
113,CAMP00000001,CH00000008,2023-01-20 15:00:39,IMP00000113,USR00108477,Mobile,Top Banner,CRE0012,0.016
114,CAMP00000001,CH00000012,2023-02-16 16:42:45,IMP00000114,USR00021077,Desktop,Sidebar,CRE0025,0.0188
115,CAMP00000001,CH00000009,2023-02-13 16:59:09,IMP00000115,USR00142678,Tablet,Story,CRE0040,0.0323
116,CAMP00000001,CH00000009,2023-01-23 08:31:38,IMP00000116,USR00114833,Desktop,Feed,CRE0012,0.0224
117,CAMP00000001,CH00000012,2023-01-04 04:15:29,IMP00000117,USR00026173,Desktop,Feed,CRE0036,0.0306
118,CAMP00000001,CH00000001,2023-01-07 03:32:02,IMP00000118,USR00090728,Tablet,Feed,CRE0024,0.042
119,CAMP00000001,CH00000002,2023-01-16 14:21:15,IMP00000119,USR00023224,Desktop,Story,CRE0032,0.009
120,CAMP00000001,CH00000012,2023-01-15 12:11:42,IMP00000120,USR00016045,Tablet,Story,CRE0022,
121,CAMP00000001,CH00000009,2023-01-28 17:02:15,IMP00000121,USR00092028,Tablet,Feed,CRE0011,0.0127
122,CAMP00000001,CH00000011,2023-01-27 13:27:40,IMP00000122,USR00018845,Desktop,Sidebar,CRE0037,0.0076
123,CAMP00000001,CH00000005,2023-01-28 00:55:08,IMP00000123,USR00128025,Tablet,Sidebar,CRE0033,0.0033
124,CAMP00000001,CH00000009,2023-01-30 18:50:46,IMP00000124,USR00123834,Tablet,Top Banner,CRE0050,0.0409
125,CAMP00000001,CH00000007,2023-01-07 12:05:13,IMP00000125,USR00116036,Tablet,Sidebar,CRE0012,0.0043
126,CAMP00000001,CH00000003,2023-01-01 16:10:28,IMP00000126,USR00036639,Desktop,Feed,CRE0049,0.0498
127,CAMP00000001,CH00000010,2023-01-27 14:13:24,IMP00000127,USR00014138,Mobile,Sidebar,CRE0020,0.0379
128,CAMP00000001,CH00000005,2023-01-10 22:37:32,IMP00000128,USR00058351,Tablet,Top Banner,CRE0039,0.0246
129,CAMP00000001,CH00000015,2023-01-28 04:16:26,IMP00000129,USR00082098,Mobile,Story,CRE0002,0.0487
130,CAMP00000001,CH00000001,2023-01-25 04:54:54,IMP00000130,USR00013290,MOBILE,Top Banner,CRE0043,0.025
131,CAMP00000001,CH00000005,2023-01-27 06:56:51,IMP00000131,USR00116998,  Desktop,Story,CRE0011,
132,CAMP00000001,CH00000007,2023-02-10 08:30:28,IMP00000132,USR00088783,Mobile,sidebar,CRE0027,0.0239
133,CAMP00000001,CH00000007,2023-01-14 01:29:13,IMP00000133,USR00035962,Desktop,  story,CRE0037,0.0351
134,CAMP00000001,CH00000015,2023-02-11 21:32:38,IMP00000134,USR00088097,Tablet,  Top Banner,CRE0002,0.0152
135,CAMP00000001,CH00000012,2023-01-19 17:23:11,IMP00000135,USR00022779,Mobile,Feed,CRE0046,0.0102
136,CAMP00000001,CH00000004,2023-01-27 02:20:38,IMP00000136,USR00018114,MOBILE,STORY,CRE0013,0.016
137,CAMP00000001,CH00000013,2023-01-22 21:03:40,IMP00000137,USR00053932,Mobile,Top Banner  ,CRE0047,
138,CAMP00000001,CH00000001,2023-02-08 12:15:31,IMP00000138,USR00070807,Tablet,Sidebar,CRE0005,0.0412
139,CAMP00000001,CH00000003,2023-02-16 18:00:48,IMP00000139,USR00144355,Tablet,Sidebar  ,CRE0009,0.0266
140,CAMP00000001,CH00000015,2022-12-26 05:51:45,IMP00000140,USR00062320,tablet,  Feed,CRE0026,0.0273
141,CAMP00000001,CH00000014,2023-01-07 09:29:34,IMP00000141,USR00124883,Desktop,Feed,CRE0020,
142,CAMP00000001,CH00000014,2023-01-01 07:43:21,IMP00000142,USR00070453,Mobile,Story,CRE0017,0.0371
143,CAMP00000001,CH00000004,2023-01-27 18:51:12,IMP00000143,USR00107665,Desktop,Sidebar,CRE0001,0.0032
144,CAMP00000001,CH00000009,2023-01-14 21:53:49,IMP00000144,USR00075468,Tablet,Story  ,CRE0020,0.0278
145,CAMP00000001,CH00000004,2023-01-11 02:53:25,IMP00000145,USR00012877,Tablet,Sidebar,CRE0010,0.042
146,CAMP00000001,CH00000010,2023-01-27 10:52:55,IMP00000146,USR00134023,Tablet,Story,CRE0049,0.0298
147,CAMP00000001,CH00000002,2023-01-21 14:55:38,IMP00000147,USR00102484,DESKTOP,Top Banner,CRE0020,0.0431
148,CAMP00000001,CH00000009,2023-02-16 10:51:40,IMP00000148,USR00071520,Desktop,Sidebar,CRE0006,0.0348
149,CAMP00000001,CH00000005,2023-02-12 00:10:54,IMP00000149,USR00083954,Desktop,Top Banner,CRE0010,0.0119
150,CAMP00000001,CH00000011,2023-02-08 10:17:29,IMP00000150,USR00035751,Tablet,Feed,CRE0031,0.0475
151,CAMP00000001,CH00000003,2023-01-14 17:47:20,IMP00000151,USR00079651,  mobile,Top Banner,CRE0008,0.0161
152,CAMP00000001,CH00000010,2023-02-03 16:54:34,IMP00000152,USR00035766,Mobile,Feed,CRE0018,0.0489
153,CAMP00000001,CH00000014,2023-01-24 10:06:32,IMP00000153,USR00070837,Tablet,Top Banner,CRE0018,0.0209
154,CAMP00000001,CH00000007,2023-02-13 13:54:35,IMP00000154,USR00020181,Tablet,Story,CRE0025,0.0372
155,CAMP00000001,CH00000009,2023-01-01 03:04:07,IMP00000155,USR00124529,Desktop,Story,CRE0015,
156,CAMP00000001,CH00000011,2023-02-15 21:57:31,IMP00000156,USR00083255,MOBILE,Sidebar,CRE0017,0.0246
157,CAMP00000001,CH00000009,2023-02-13 02:29:19,IMP00000157,USR00059490,Desktop,Top Banner,CRE0037,0.0228
158,CAMP00000001,CH00000001,2022-12-24 02:00:20,IMP00000158,USR00094796,Tablet,STORY,CRE0017,
159,CAMP00000001,CH00000012,2022-12-30 19:57:30,IMP00000159,USR00112194,Desktop,Sidebar,CRE0002,0.021
160,CAMP00000001,CH00000010,2023-01-23 11:18:51,IMP00000160,USR00146635,Tablet,Sidebar,CRE0033,0.0018
161,CAMP00000001,CH00000007,2023-02-14 01:09:54,IMP00000161,USR00069543,TABLET,  Top Banner,CRE0025,0.0376
162,CAMP00000001,CH00000011,2022-12-25 12:36:17,IMP00000162,USR00112193,Tablet  ,Story  ,CRE0016,0.0259
163,CAMP00000001,CH00000003,2023-02-13 23:59:51,IMP00000163,USR00124305,Tablet,top banner,CRE0006,0.0402
164,CAMP00000001,CH00000007,2023-01-15 15:58:28,IMP00000164,USR00033965,Tablet,Feed,CRE0011,0.0353
165,CAMP00000001,CH00000011,2023-01-27 05:13:37,IMP00000165,USR00074388,Tablet,Sidebar,CRE0022,0.0368
166,CAMP00000001,CH00000012,2023-01-10 18:26:33,IMP00000166,USR00137323,Mobile,Story,CRE0050,0.0044
167,CAMP00000001,CH00000001,2023-01-21 08:28:02,IMP00000167,USR00079083,Tablet,Top Banner,CRE0050,0.0335
168,CAMP00000001,CH00000013,2023-01-04 03:10:55,IMP00000168,USR00097649,Tablet,  Top Banner,CRE0043,0.0137
169,CAMP00000001,CH00000013,2023-02-01 00:12:42,IMP00000169,USR00058635,Mobile,Story,CRE0014,
170,CAMP00000001,CH00000014,2023-01-29 11:19:29,IMP00000170,USR00073305,Tablet,Feed,CRE0041,0.028
171,CAMP00000001,CH00000004,2023-01-14 19:07:25,IMP00000171,USR00118501,Desktop,Top Banner,CRE0032,0.0142
172,CAMP00000001,CH00000003,2023-02-10 08:59:27,IMP00000172,USR00088390,Tablet,Feed,CRE0004,0.0323
173,CAMP00000001,CH00000001,2023-01-15 09:07:33,IMP00000173,USR00009858,Tablet,Story,CRE0035,0.0274
174,CAMP00000001,CH00000008,2023-01-06 20:28:41,IMP00000174,USR00085462,Desktop,Story,CRE0039,0.0155
175,CAMP00000001,CH00000014,2023-02-12 09:35:26,IMP00000175,USR00040162,Mobile,Feed,CRE0018,0.0419
176,CAMP00000001,CH00000010,2023-01-11 20:02:16,IMP00000176,USR00056430,Mobile,Top Banner,CRE0005,0.0244
177,CAMP00000001,CH00000007,2023-01-12 21:54:52,IMP00000177,USR00112729,Desktop,TOP BANNER,CRE0018,0.0244
178,CAMP00000001,CH00000006,2023-01-18 00:21:11,IMP00000178,USR00012203,Desktop,Story,CRE0027,0.0486
179,CAMP00000001,CH00000014,2023-01-04 02:57:04,IMP00000179,USR00077526,Tablet,Sidebar,CRE0004,0.0268
180,CAMP00000001,CH00000004,2022-12-28 09:43:53,IMP00000180,USR00110316,Mobile,Feed,CRE0031,0.0478
181,CAMP00000001,CH00000013,2023-02-17 07:02:21,IMP00000181,USR00065953,Mobile,Story,CRE0015,0.0335
182,CAMP00000001,CH00000003,2023-02-04 03:27:05,IMP00000182,USR00063394,Desktop,Top Banner,CRE0022,0.0126
183,CAMP00000001,CH00000010,2023-02-01 09:46:32,IMP00000183,USR00137739,Tablet,Feed,CRE0040,0.0411
184,CAMP00000001,CH00000014,2023-01-05 02:54:56,IMP00000184,USR00133782,Desktop,Top Banner,CRE0034,0.0426
185,CAMP00000001,CH00000004,2023-01-19 19:29:00,IMP00000185,USR00037391,Desktop,Story,CRE0036,0.0495
186,CAMP00000001,CH00000014,2023-02-16 13:02:19,IMP00000186,USR00103953,Mobile,Story,CRE0033,0.0421
187,CAMP00000001,CH00000009,2023-01-28 11:08:38,IMP00000187,USR00144005,Tablet,Story,CRE0044,0.0106
188,CAMP00000001,CH00000010,2022-12-24 06:37:34,IMP00000188,USR00044043,Desktop,Story,CRE0010,0.0149
189,CAMP00000001,CH00000014,2022-12-26 05:51:05,IMP00000189,USR00143716,Desktop,Feed,CRE0008,0.0465
190,CAMP00000001,CH00000006,2022-12-27 06:16:15,IMP00000190,USR00074507,Mobile,Story,CRE0011,0.0484
191,CAMP00000001,CH00000001,2023-02-10 03:41:32,IMP00000191,USR00139947,  Desktop,Top Banner,CRE0042,0.047
192,CAMP00000001,CH00000002,2023-02-15 02:04:29,IMP00000192,USR00089373,Mobile,Story,CRE0036,0.0299
193,CAMP00000001,CH00000006,2023-02-03 21:47:17,IMP00000193,USR00078731,Tablet,Sidebar,CRE0027,0.0112
194,CAMP00000001,CH00000001,2023-01-15 20:22:03,IMP00000194,USR00144142,Mobile,Story,CRE0044,0.0398
195,CAMP00000001,CH00000014,2023-01-06 08:59:04,IMP00000195,USR00046050,Tablet  ,Story,CRE0004,0.0022
196,CAMP00000001,CH00000005,2023-01-09 05:02:28,IMP00000196,USR00117048,Tablet,Feed,CRE0023,0.0429
197,CAMP00000001,CH00000010,2023-01-11 15:50:31,IMP00000197,USR00067194,Tablet,Top Banner,CRE0036,0.0226
198,CAMP00000001,CH00000001,2023-01-16 13:42:47,IMP00000198,USR00078604,Tablet,Feed,CRE0045,0.0043
199,CAMP00000001,CH00000014,2022-12-27 04:03:14,IMP00000199,USR00028172,TABLET,Top Banner,CRE0016,0.014
200,CAMP00000001,CH00000007,2023-02-05 01:53:59,IMP00000200,USR00093921,Mobile,Top Banner,CRE0009,0.0088
201,CAMP00000001,CH00000003,2023-01-15 00:49:14,IMP00000201,USR00003026,Desktop  ,Top Banner,CRE0023,0.0467
202,CAMP00000001,CH00000015,2023-02-07 16:09:27,IMP00000202,USR00142105,Tablet,Story,CRE0041,0.025
203,CAMP00000001,CH00000010,2022-12-25 18:45:53,IMP00000203,USR00062064,Tablet,Sidebar  ,CRE0039,0.0012
204,CAMP00000001,CH00000003,2023-02-12 21:56:54,IMP00000204,USR00021401,Tablet,Sidebar,CRE0049,0.0087
205,CAMP00000001,CH00000004,2023-01-20 17:50:52,IMP00000205,USR00011755,Desktop,Story,CRE0003,0.026
206,CAMP00000001,CH00000003,2023-01-04 07:34:47,IMP00000206,USR00128789,Desktop,Story,CRE0037,0.018
207,CAMP00000001,CH00000008,2023-01-19 12:04:59,IMP00000207,USR00127411,Mobile,Sidebar,CRE0018,0.0264
208,CAMP00000001,CH00000002,2023-02-08 16:14:39,IMP00000208,USR00038788,Tablet,Feed,CRE0047,0.0438
209,CAMP00000001,CH00000009,2023-02-03 20:45:41,IMP00000209,USR00092688,Desktop,Sidebar,CRE0020,0.0234
210,CAMP00000001,CH00000013,2023-01-13 21:51:57,IMP00000210,USR00124594,Mobile,Feed,CRE0041,0.0051
211,CAMP00000001,CH00000012,2023-01-31 14:50:05,IMP00000211,USR00089739,Desktop,Story,CRE0048,0.0273
212,CAMP00000001,CH00000009,2023-01-31 07:41:26,IMP00000212,USR00142317,Tablet,Feed,CRE0011,0.0455
213,CAMP00000001,CH00000012,2023-02-01 09:00:29,IMP00000213,USR00135823,Desktop,Story,CRE0031,0.041
214,CAMP00000001,CH00000009,2023-01-23 13:43:45,IMP00000214,USR00032059,Tablet,Story,CRE0039,0.018
215,CAMP00000001,CH00000008,2022-12-22 05:20:12,IMP00000215,USR00075476,tablet,Sidebar,CRE0015,0.0285
216,CAMP00000001,CH00000003,2023-01-24 10:57:57,IMP00000216,USR00114954,Desktop  ,Feed,CRE0016,0.0036
217,CAMP00000001,CH00000003,2023-01-16 16:25:31,IMP00000217,USR00085238,Desktop,Top Banner,CRE0032,0.0293
218,CAMP00000001,CH00000012,2023-01-11 16:07:36,IMP00000218,USR00031999,Desktop,Feed,CRE0043,0.0138
219,CAMP00000001,CH00000005,2023-01-30 19:59:48,IMP00000219,USR00030389,Mobile,Sidebar,CRE0021,0.0111
220,CAMP00000001,CH00000007,2023-02-03 20:55:17,IMP00000220,USR00098602,tablet,Top Banner,CRE0034,0.0461
221,CAMP00000001,CH00000015,2023-02-06 03:40:04,IMP00000221,USR00033426,Desktop,Story,CRE0012,0.0171
222,CAMP00000001,CH00000003,2023-02-12 10:41:07,IMP00000222,USR00066183,Mobile,Top Banner,CRE0029,0.0358
