click_key,campaign_id,channel_id,click_timestamp,click_id,impression_id,user_id,device_type,landing_page_url,cost
21,CAMP00000005,ch00000009,2022-07-18 23:56:10,CLK00000021,IMP00022813,USR00036637,Desktop,https://bookhoarder.com/bestsellers,0.7377
22,CAMP00000002,CH00000010,2022-11-06 04:07:54,CLK00000022,IMP00006851,USR00041050,Desktop,https://bookhoarder.com/bestsellers,1.4838
23,CAMP00000005,CH00000002,2022-07-28 14:06:13,CLK00000023,IMP00022267,USR00072400,Tablet,https://bookhoarder.com/deals,1.769
24,CAMP00000003,CH00000008,2022-02-13 13:49:17,CLK00000024,IMP00013077,USR00122521,Mobile,https://bookhoarder.com/bestsellers,1.5164
25,CAMP00000007,CH00000004,2021-12-15 14:18:34,CLK00000025,IMP00030265,USR00063544,Desktop,https://bookhoarder.com/home,2.4112
26,CAMP00000014,CH00000002,2021-11-21 22:04:04,CLK00000026,IMP00066316,USR00114449,Mobile,https://bookhoarder.com/home,0.8201
27,CAMP  00000017,CH  00000002,2022-07-23 09:28:48,CLK00000027,IMP00084489,USR00084383,Mobile,https://bookhoarder.com/home,0.3554
28,CAMP00000014,CH00000004,2022-01-18 21:57:41,CLK00000028,IMP00068271,USR00029638,Tablet,https://bookhoarder.com/bestsellers,0.3189
29,CAMP00000001,CH  00000007,2023-01-17 07:13:50,CLK00000029,IMP00002312,USR00084704,Desktop,https://bookhoarder.com/deals,1.3127
30,CAMP  00000014,CH00000002,2021-12-27 17:52:06,CLK00000030,IMP00066148,USR00004719,Mobile,https://bookhoarder.com/bestsellers,2.2922
31,CAMP00000018,CH00000015,2021-07-14 20:06:42,CLK00000031,IMP00087254,USR00085680,Desktop,https://bookhoarder.com/home,0.6111
32,CAMP00000011,CH00000004,2021-03-11 17:06:31,CLK00000032,IMP00054032,USR00043522,Tablet,https://bookhoarder.com/deals,0.2966
33,CAMP00000003,CH00000012,2021-12-11 13:39:56,CLK00000033,IMP00011179,USR00011888,Mobile,https://bookhoarder.com/home,1.9199
34,CAMP00000013,CH00000003,2021-03-04 23:37:33,CLK00000034,IMP00061491,USR00009854,Tablet,https://bookhoarder.com/deals,0.6441
35,CAMP00000017,CH00000001,2022-08-24 17:25:29,CLK00000035,IMP00081884,USR00008454,Tablet,https://bookhoarder.com/bestsellers,1.6664
36,CAMP00000007,CH00000014,2021-12-14 03:36:31,CLK00000036,IMP00033496,USR00033840,Desktop,https://bookhoarder.com/deals,0.177
37,CAMP00000001,ch00000012,2023-01-13 03:47:12,CLK00000037,IMP00000747,USR00020448,Tablet,https://bookhoarder.com/deals,0.8141
38,CAMP00000016,CH00000012,2021-03-18 19:06:38,CLK00000038,IMP00078310,USR00075129,Desktop,https://bookhoarder.com/deals,0.3766
39,CAMP00000014,CH00000010,2022-01-07 19:21:19,CLK00000039,IMP00068665,USR00008784,Desktop,https://bookhoarder.com/bestsellers,1.2825
40,CAMP00000014,CH00000002,2021-12-28 19:34:23,CLK00000040,IMP00067369,USR00121876,Mobile,https://bookhoarder.com/bestsellers,0.8362
41,CAMP00000013,CH00000014,2021-02-07 09:34:26,CLK00000041,IMP00062058,USR00119203,Tablet,https://bookhoarder.com/deals,1.7881
42,CAMP00000017,CH  00000007,2022-07-31 08:30:04,CLK00000042,IMP00080641,USR00012205,Desktop,https://bookhoarder.com/home,2.3357
43,CAMP00000005,CH  00000004,2022-07-15 03:49:15,CLK00000043,IMP00022154,USR00105179,Desktop,https://bookhoarder.com/deals,1.0542
44,CAMP00000003,CH00000008,2022-02-05 17:01:16,CLK00000044,IMP00010961,USR00114980,Mobile,https://bookhoarder.com/deals,2.3501
45,CAMP00000012,CH00000004,2022-01-18 23:44:13,CLK00000045,IMP00056261,USR00125661,Desktop,https://bookhoarder.com/bestsellers,2.1019
46,CAMP00000001,CH00000001,2023-01-09 16:24:17,CLK00000046,IMP00003434,USR00147066,Mobile,https://bookhoarder.com/bestsellers,2.3132
47,CAMP  00000001,ch00000013,2022-12-28 22:44:09,CLK00000047,IMP00002978,USR00024761,Tablet,https://bookhoarder.com/home,0.6675
48,CAMP00000004,ch00000011,2022-07-08 04:19:26,CLK00000048,IMP00017494,USR00049302,Desktop,https://bookhoarder.com/deals,0.9998
49,CAMP00000004,CH00000015,2022-07-08 13:09:57,CLK00000049,IMP00016251,USR00093690,Tablet,https://bookhoarder.com/home,2.4705
50,CAMP00000015,CH00000001,2021-04-30 05:33:25,CLK00000050,IMP00072679,USR00143172,Mobile,https://bookhoarder.com/home,0.9371
51,CAMP00000019,CH00000009,2021-03-28 09:22:38,CLK00000051,IMP00092157,USR00099745,Mobile,https://bookhoarder.com/home,2.0424
52,CAMP00000001,CH00000012,2023-01-13 16:46:59,clk00000052,IMP00000981,USR00018725,Desktop,https://bookhoarder.com/bestsellers,2.0973
53,CAMP00000010,CH00000008,2022-10-09 15:29:54,CLK00000053,IMP00047152,USR00018825,Mobile,https://bookhoarder.com/deals,1.9896
54,CAMP00000019,CH00000002,2021-02-27 23:19:02,CLK  00000054,IMP00091592,USR00098427,Mobile,https://bookhoarder.com/bestsellers,1.7969
55,CAMP00000004,CH00000013,2022-05-26 14:42:23,CLK00000055,IMP00017076,USR00070576,Mobile,https://bookhoarder.com/bestsellers,2.3712
56,CAMP00000009,CH00000012,2021-10-14 16:07:12,CLK00000056,IMP00043891,USR00139591,Tablet,https://bookhoarder.com/bestsellers,0.3026
57,CAMP00000017,CH00000006,2022-08-29 19:28:26,CLK00000057,IMP00080183,USR00129298,Desktop,https://bookhoarder.com/deals,0.4574
58,CAMP00000018,CH00000008,2021-07-22 02:10:08,CLK00000058,IMP00085297,USR00088483,Mobile,https://bookhoarder.com/deals,2.1302
59,CAMP00000008,CH00000012,2022-12-16 17:30:16,CLK00000059,IMP00038530,USR00105154,Desktop,https://bookhoarder.com/deals,2.0285
60,CAMP00000004,CH00000004,2022-06-13 13:04:09,CLK00000060,IMP00018624,USR00004991,Mobile,https://bookhoarder.com/bestsellers,2.3211
61,CAMP00000002,CH00000005,2022-10-29 08:24:09,CLK00000061,IMP00005038,USR00024728,Tablet,https://bookhoarder.com/deals,0.2296
62,CAMP00000017,CH00000013,2022-08-14 07:17:51,CLK00000062,IMP00081756,USR00039378,Desktop,https://bookhoarder.com/deals,2.0537
63,CAMP00000018,CH00000008,2021-07-13 09:28:52,CLK00000063,IMP00088316,USR00088585,Mobile,https://bookhoarder.com/deals,0.3483
64,CAMP00000014,CH00000011,2021-11-30 06:03:26,CLK00000064,IMP00067037,USR00091638,Tablet,https://bookhoarder.com/home,1.6255
65,CAMP00000008,CH00000011,2022-12-03 06:38:00,CLK00000065,IMP00039417,USR00125570,Tablet,https://bookhoarder.com/bestsellers,2.0642
66,CAMP00000005,CH00000004,2022-08-13 07:29:20,CLK00000066,IMP00024889,USR00110764,Mobile,https://bookhoarder.com/home,1.5789
67,CAMP00000010,CH00000004,2022-11-12 11:05:43,CLK00000067,IMP00048332,USR00027071,Desktop,https://bookhoarder.com/deals,1.8305
68,CAMP00000007,CH00000011,2021-12-18 06:05:58,CLK  00000068,IMP00032838,USR00143345,Mobile,https://bookhoarder.com/deals,1.9063
69,CAMP  00000001,CH00000006,2023-01-16 00:00:47,CLK00000069,IMP00001134,USR00039737,Tablet,https://bookhoarder.com/deals,2.3133
70,CAMP00000006,CH00000015,2022-05-14 07:05:10,CLK00000070,IMP00025100,USR00099804,Tablet,https://bookhoarder.com/deals,0.2794
71,CAMP00000016,CH00000001,2021-02-28 09:47:46,CLK00000071,IMP00075303,USR00084884,Mobile,https://bookhoarder.com/bestsellers,1.4331
72,CAMP00000008,CH00000015,2022-12-04 21:35:21,CLK00000072,IMP00038076,USR00033789,Tablet,https://bookhoarder.com/deals,0.3567
73,CAMP00000001,CH00000008,2022-12-27 03:05:11,CLK00000073,IMP00001174,USR00044130,Tablet,https://bookhoarder.com/home,0.6044
74,CAMP00000008,CH00000010,2023-01-20 20:53:57,CLK00000074,IMP00038726,USR00106672,Desktop,https://bookhoarder.com/home,0.8721
75,CAMP00000008,CH00000012,2022-12-21 14:47:49,CLK00000075,IMP00036501,USR00100678,Desktop,https://bookhoarder.com/home,1.1003
76,CAMP00000020,CH00000015,2022-08-25 02:15:56,CLK00000076,IMP00098116,USR00030739,Desktop,https://bookhoarder.com/bestsellers,1.5259
77,CAMP00000006,CH00000012,2022-05-21 04:16:36,CLK  00000077,IMP00028346,USR00015577,Desktop,https://bookhoarder.com/home,1.8707
78,CAMP00000011,CH  00000009,2021-02-14 10:31:54,CLK00000078,IMP00052287,USR00106650,Desktop,https://bookhoarder.com/bestsellers,0.4512
79,CAMP00000005,CH00000011,2022-07-27 03:59:54,CLK00000079,IMP00020180,USR00067972,Tablet,https://bookhoarder.com/deals,0.3593
80,CAMP00000003,CH00000006,2022-01-25 13:13:38,CLK00000080,IMP00013392,USR00013388,Desktop,https://bookhoarder.com/deals,1.0932
81,CAMP00000016,CH00000005,2021-04-01 01:31:22,CLK00000081,IMP00077751,USR00018561,Mobile,https://bookhoarder.com/home,1.5868
82,CAMP00000009,CH00000011,2021-10-09 06:18:45,CLK00000082,IMP00044050,USR00019794,Desktop,https://bookhoarder.com/home,1.5
83,CAMP00000016,CH00000005,2021-04-15 10:59:55,CLK00000083,IMP00076575,USR00148387,Desktop,https://bookhoarder.com/bestsellers,2.4398
84,CAMP00000014,CH00000013,2021-12-15 15:36:43,CLK00000084,IMP00068109,USR00087484,Mobile,https://bookhoarder.com/deals,1.6773
85,CAMP00000015,CH00000013,2021-04-16 13:00:34,CLK00000085,IMP00074779,USR00045565,Desktop,https://bookhoarder.com/home,2.188
86,CAMP00000011,CH00000012,2021-01-24 14:44:13,CLK00000086,IMP00052050,USR00123476,Tablet,https://bookhoarder.com/home,0.2616
87,CAMP00000019,CH00000013,2021-03-02 12:18:06,CLK00000087,IMP00092114,USR00117352,Mobile,https://bookhoarder.com/home,0.2067
88,CAMP00000001,CH00000015,2022-12-30 20:19:43,CLK00000088,IMP00003193,USR00087596,Desktop,https://bookhoarder.com/home,1.9148
89,camp00000015,CH00000003,2021-04-25 23:01:26,CLK00000089,IMP00074853,USR00014711,Desktop,https://bookhoarder.com/home,0.4935
90,CAMP00000011,CH00000012,2021-01-13 11:22:17,CLK00000090,imp00051988,USR00016405,Mobile,https://bookhoarder.com/bestsellers,1.6374
91,CAMP00000010,CH00000006,2022-10-14 15:00:54,CLK  00000091,IMP00046814,USR00106350,Mobile,https://bookhoarder.com/home,1.1077
92,CAMP00000014,CH00000006,2021-11-24 01:24:57,CLK00000092,IMP00068555,USR00019797,Desktop,https://bookhoarder.com/home,0.9311
93,CAMP00000003,CH00000014,2022-02-14 22:43:10,CLK00000093,IMP00011613,USR00132872,Mobile,https://bookhoarder.com/deals,1.7647
94,CAMP00000005,CH00000014,2022-08-13 10:33:28,CLK00000094,IMP00020323,USR00139237,Desktop,https://bookhoarder.com/bestsellers,0.3773
95,CAMP00000015,CH00000013,2021-04-13 15:44:01,CLK00000095,IMP00073083,USR00003208,Mobile,https://bookhoarder.com/bestsellers,0.6379
96,CAMP00000017,CH00000014,2022-08-10 14:31:06,CLK00000096,IMP00082680,USR00149750,Tablet,https://bookhoarder.com/home,0.9657
97,CAMP00000004,CH00000013,2022-06-27 11:09:00,CLK00000097,IMP00018350,USR00080488,Desktop,https://bookhoarder.com/bestsellers,0.6338
98,CAMP00000004,CH00000014,2022-05-30 05:06:39,CLK00000098,IMP00017902,USR00046494,Desktop,https://bookhoarder.com/bestsellers,1.0684
99,CAMP00000017,CH00000012,2022-08-15 12:47:20,clk00000099,IMP00080599,USR00106350,Desktop,https://bookhoarder.com/home,2.1691
100,CAMP00000019,CH00000002,2021-02-25 19:42:21,CLK00000100,IMP  00090136,USR00124231,Tablet,https://bookhoarder.com/bestsellers,0.848
101,CAMP00000005,CH00000010,2022-07-19 13:20:37,CLK00000101,IMP  00023444,USR00021884,Desktop,https://bookhoarder.com/deals,1.5926
102,CAMP00000017,CH00000011,2022-08-08 22:07:18,CLK  00000102,IMP  00081774,USR00102713,Desktop,https://bookhoarder.com/bestsellers,0.1824
103,CAMP00000008,CH00000004,2023-01-05 14:22:43,CLK00000103,IMP00039179,USR00017578,Tablet,https://bookhoarder.com/home,2.3481
104,CAMP00000014,CH00000014,2021-12-02 16:39:10,CLK00000104,IMP00069097,USR00128705,Desktop,https://bookhoarder.com/home,1.9064
105,CAMP00000012,CH00000003,2022-03-04 02:22:18,CLK00000105,IMP00058896,USR00055738,Mobile,https://bookhoarder.com/bestsellers,0.6515
106,CAMP00000005,CH00000014,2022-08-20 07:50:57,clk00000106,IMP00024874,USR00079578,Desktop,https://bookhoarder.com/deals,2.0016
107,CAMP00000014,CH00000011,2021-12-11 08:14:13,CLK00000107,IMP  00068036,USR00117955,Mobile,https://bookhoarder.com/home,1.471
108,CAMP00000015,CH00000010,2021-04-21 01:16:01,CLK00000108,IMP00072985,USR00047155,Desktop,https://bookhoarder.com/home,2.3748
109,CAMP00000013,CH00000015,2021-03-24 23:57:10,CLK00000109,IMP00060076,USR00108801,Desktop,https://bookhoarder.com/deals,2.2757
110,CAMP00000002,CH00000013,2022-10-07 00:24:04,CLK00000110,IMP00008304,USR00082382,Tablet,https://bookhoarder.com/deals,1.5477
111,CAMP00000020,CH00000011,2022-08-11 16:53:36,CLK  00000111,IMP00097245,USR00039324,Mobile,https://bookhoarder.com/deals,0.9548
112,CAMP00000013,CH00000015,2021-02-28 14:02:56,CLK00000112,IMP00060112,USR00065789,Desktop,https://bookhoarder.com/home,0.58
113,CAMP00000012,CH00000007,2022-01-23 19:30:25,CLK00000113,IMP00056519,USR00039841,Mobile,https://bookhoarder.com/home,2.31
114,CAMP00000010,CH00000012,2022-10-14 22:47:05,CLK00000114,IMP  00045144,USR00077788,Desktop,https://bookhoarder.com/home,0.3659
115,CAMP00000001,CH00000005,2023-01-23 21:29:29,CLK00000115,IMP00004738,USR00041067,Tablet,https://bookhoarder.com/home,2.3108
116,CAMP00000018,CH00000014,2021-07-28 07:57:21,CLK00000116,IMP00087074,USR00057165,Mobile,https://bookhoarder.com/deals,0.6942
117,CAMP00000005,CH00000001,2022-08-02 03:11:45,CLK00000117,IMP00021850,USR00021815,Desktop,https://bookhoarder.com/home,1.1709
118,CAMP00000020,CH00000007,2022-08-14 19:13:27,CLK00000118,IMP  00098554,USR00114203,Desktop,https://bookhoarder.com/deals,0.4653
119,CAMP00000013,CH00000010,2021-02-25 07:19:49,CLK00000119,IMP00063267,USR00025531,Mobile,https://bookhoarder.com/bestsellers,0.6955
120,CAMP00000012,CH00000009,2022-01-10 08:34:45,CLK00000120,IMP00056111,USR00098675,Tablet,https://bookhoarder.com/bestsellers,0.6049
121,CAMP00000007,CH00000003,2021-12-09 15:43:15,CLK00000121,IMP00030547,USR00111599,Mobile,https://bookhoarder.com/deals,0.5116
122,CAMP00000020,CH00000003,2022-08-17 07:52:34,CLK00000122,IMP00097161,USR00046180,Mobile,https://bookhoarder.com/deals,1.0212
123,CAMP00000018,CH00000006,2021-08-03 14:25:10,CLK00000123,IMP00085284,USR00023883,Desktop,https://bookhoarder.com/deals,0.8028
124,CAMP  00000014,CH00000006,2021-12-17 18:32:58,CLK00000124,IMP00066917,USR00148111,Mobile,https://bookhoarder.com/deals,0.6408
125,CAMP00000011,ch00000014,2021-01-05 23:55:44,CLK00000125,IMP00053003,USR00148321,Desktop,https://bookhoarder.com/home,0.9599
126,CAMP00000007,CH00000015,2021-11-22 02:19:48,CLK00000126,IMP00032614,USR00088789,Desktop,https://bookhoarder.com/home,1.292
127,CAMP00000001,CH00000008,2023-01-20 19:20:36,CLK00000127,IMP00004289,USR00062543,Desktop,https://bookhoarder.com/bestsellers,1.4052
128,CAMP00000011,CH00000008,2021-03-09 04:49:19,CLK00000128,IMP00052712,USR00109340,Mobile,https://bookhoarder.com/deals,0.2227
129,CAMP00000002,CH00000003,2022-11-01 10:23:05,CLK00000129,IMP00008262,USR00119641,Tablet,https://bookhoarder.com/home,2.179
130,CAMP00000015,CH00000014,2021-04-24 12:51:53,CLK00000130,IMP00070445,USR00076544,Tablet,https://bookhoarder.com/bestsellers,0.3307
131,CAMP00000020,CH00000005,2022-08-15 15:38:27,CLK00000131,IMP00096282,USR00026281,Tablet,https://bookhoarder.com/home,1.6385
132,CAMP00000003,CH00000010,2021-12-16 02:07:02,CLK00000132,IMP00013987,USR00016428,Desktop,https://bookhoarder.com/bestsellers,0.7926
133,CAMP00000010,CH00000007,2022-11-20 18:59:15,CLK00000133,IMP  00047520,USR00136783,Tablet,https://bookhoarder.com/home,0.734
134,CAMP00000004,CH00000015,2022-06-20 18:51:06,CLK00000134,IMP00016477,USR00120383,Tablet,https://bookhoarder.com/bestsellers,0.8635
135,CAMP00000016,CH00000006,2021-04-03 07:32:44,CLK00000135,IMP00075658,USR00124350,Desktop,https://bookhoarder.com/deals,1.6885
136,CAMP00000019,CH00000007,2021-03-27 15:05:17,CLK00000136,IMP00094412,USR00140812,Tablet,https://bookhoarder.com/bestsellers,0.5177
137,CAMP00000013,CH00000015,2021-03-29 09:52:27,CLK00000137,imp00061411,USR00013284,Mobile,https://bookhoarder.com/deals,0.648
138,CAMP  00000013,CH00000011,2021-03-10 04:24:54,CLK00000138,IMP00064235,USR00010372,Tablet,https://bookhoarder.com/deals,2.4339
139,CAMP  00000011,CH00000007,2021-01-17 04:20:52,CLK00000139,IMP00052592,USR00067672,Mobile,https://bookhoarder.com/deals,0.2709
140,CAMP00000006,CH00000012,2022-05-12 09:56:09,CLK00000140,IMP  00029768,USR00106770,Desktop,https://bookhoarder.com/home,0.6421
141,CAMP00000018,ch00000014,2021-08-01 23:51:17,CLK00000141,IMP00086053,USR00061004,Desktop,https://bookhoarder.com/deals,1.041
142,CAMP00000001,CH00000007,2022-12-23 14:53:07,clk00000142,IMP00004180,USR00010905,Desktop,https://bookhoarder.com/bestsellers,0.2513
143,CAMP00000009,CH00000015,2021-10-19 00:52:33,CLK  00000143,IMP00041995,USR00040413,Desktop,https://bookhoarder.com/bestsellers,0.905
144,CAMP00000008,CH00000005,2022-12-18 18:14:33,CLK00000144,imp00036590,USR00105421,Desktop,https://bookhoarder.com/bestsellers,1.4602
145,CAMP00000003,CH00000010,2021-12-30 14:49:17,CLK00000145,IMP00014078,USR00042363,Desktop,https://bookhoarder.com/bestsellers,1.5051
146,CAMP00000007,CH00000010,2021-12-27 23:28:33,CLK00000146,IMP00032592,USR00095230,Tablet,https://bookhoarder.com/deals,1.8643
147,CAMP00000001,CH00000002,2023-02-17 03:27:42,CLK00000147,IMP00004235,USR00106087,Mobile,https://bookhoarder.com/bestsellers,2.0461
148,CAMP00000016,CH  00000003,2021-04-27 23:01:48,CLK00000148,IMP00075392,USR00111663,Tablet,https://bookhoarder.com/deals,2.4292
149,CAMP00000018,CH00000004,2021-07-13 13:54:31,CLK00000149,IMP00089150,USR00101658,Tablet,https://bookhoarder.com/bestsellers,0.8511
150,CAMP00000017,CH00000006,2022-07-27 21:29:53,CLK00000150,IMP00082023,USR00060435,Tablet,https://bookhoarder.com/bestsellers,1.257
151,CAMP00000019,ch00000003,2021-04-06 12:33:10,CLK00000151,imp00094267,USR00042871,Desktop,https://bookhoarder.com/home,1.9121
152,CAMP00000009,CH00000001,2021-10-18 21:42:21,CLK00000152,IMP00040039,USR00108363,Tablet,https://bookhoarder.com/home,1.8062
153,CAMP00000009,CH00000006,2021-10-14 03:32:48,CLK00000153,IMP00040111,USR00149576,Desktop,https://bookhoarder.com/deals,0.3135
154,CAMP00000006,CH00000006,2022-05-19 20:53:51,CLK00000154,IMP00025696,USR00088817,Mobile,https://bookhoarder.com/bestsellers,1.0466
155,CAMP00000009,CH00000010,2021-10-10 06:32:40,CLK00000155,IMP00042801,USR00139551,Mobile,https://bookhoarder.com/home,0.6898
156,CAMP00000019,CH00000013,2021-03-19 09:05:32,CLK00000156,IMP00092487,USR00107618,Tablet,https://bookhoarder.com/home,0.704
157,CAMP00000002,CH00000013,2022-11-23 21:57:19,CLK00000157,IMP00005125,USR00100700,Mobile,https://bookhoarder.com/deals,2.0162
158,CAMP00000015,CH00000003,2021-04-15 15:57:03,CLK00000158,IMP00072800,USR00111224,Mobile,https://bookhoarder.com/home,0.8837
159,CAMP00000009,CH00000001,2021-10-14 20:01:57,CLK00000159,IMP00043127,USR00132309,Desktop,https://bookhoarder.com/home,1.0173
160,CAMP00000009,CH00000013,2021-10-25 04:09:02,CLK00000160,IMP00044939,USR00043565,Desktop,https://bookhoarder.com/deals,0.5985
161,CAMP00000016,CH00000008,2021-03-07 07:59:38,CLK00000161,IMP00077036,USR00059129,Tablet,https://bookhoarder.com/home,1.9254
162,CAMP00000003,CH00000013,2022-01-30 00:17:22,CLK00000162,IMP00011842,USR00081145,Desktop,https://bookhoarder.com/bestsellers,0.2293
163,CAMP00000006,CH00000010,2022-05-12 22:14:12,CLK00000163,IMP00029718,USR00142395,Desktop,https://bookhoarder.com/deals,1.8679
164,CAMP00000005,CH00000011,2022-08-31 16:55:01,CLK00000164,IMP00020504,USR00033487,Mobile,https://bookhoarder.com/bestsellers,1.5205
165,CAMP00000006,CH00000011,2022-05-17 07:50:40,CLK00000165,IMP00028786,USR00091614,Desktop,https://bookhoarder.com/deals,1.8406
166,CAMP00000020,CH00000001,2022-08-09 06:13:28,CLK00000166,IMP00096877,USR00112041,Mobile,https://bookhoarder.com/deals,0.6938
167,CAMP00000011,CH00000012,2021-02-08 17:59:43,CLK00000167,IMP00051947,USR00001027,Mobile,https://bookhoarder.com/deals,0.1468
168,CAMP00000004,CH00000007,2022-05-14 01:16:44,CLK00000168,IMP00018334,USR00056882,Mobile,https://bookhoarder.com/deals,0.7582
169,CAMP00000009,CH00000012,2021-10-16 22:45:55,CLK00000169,IMP00043703,USR00072302,Tablet,https://bookhoarder.com/bestsellers,1.6771
170,CAMP00000005,CH00000014,2022-07-16 20:37:57,CLK00000170,IMP00021672,USR00119978,Tablet,https://bookhoarder.com/bestsellers,0.1298
171,CAMP00000005,CH00000006,2022-07-08 22:24:25,CLK00000171,IMP00023703,USR00016024,Desktop,https://bookhoarder.com/home,1.9473
172,CAMP00000012,CH00000012,2022-02-23 02:02:25,CLK00000172,IMP00058391,USR00080313,Mobile,https://bookhoarder.com/bestsellers,0.9569
173,CAMP00000017,CH00000005,2022-08-28 02:16:07,CLK00000173,IMP00083740,USR00089659,Desktop,https://bookhoarder.com/bestsellers,0.5008
174,camp00000010,CH00000002,2022-10-03 19:58:31,CLK00000174,IMP00049893,USR00125701,Tablet,https://bookhoarder.com/home,0.6172
175,CAMP00000020,CH00000002,2022-08-17 01:43:53,CLK00000175,IMP00097862,USR00055884,Tablet,https://bookhoarder.com/home,0.359
176,CAMP  00000002,CH00000014,2022-10-06 23:17:30,CLK00000176,IMP00005437,USR00098137,Tablet,https://bookhoarder.com/bestsellers,1.8408
177,CAMP00000016,CH00000003,2021-03-07 19:53:39,CLK00000177,IMP00078358,USR00116400,Desktop,https://bookhoarder.com/home,2.0105
178,CAMP00000006,CH00000004,2022-05-19 16:19:19,CLK00000178,IMP00025468,USR00063802,Desktop,https://bookhoarder.com/deals,1.1155
179,CAMP00000005,CH  00000001,2022-07-12 20:01:21,CLK  00000179,IMP00020406,USR00094654,Mobile,https://bookhoarder.com/bestsellers,2.0167
180,CAMP00000005,CH00000004,2022-08-09 13:03:15,CLK00000180,IMP00020778,USR00085432,Mobile,https://bookhoarder.com/home,1.3291
181,CAMP00000004,CH00000011,2022-05-22 10:57:27,CLK00000181,IMP00017161,USR00014487,Desktop,https://bookhoarder.com/bestsellers,1.6128
182,CAMP00000010,CH00000005,2022-10-26 09:19:05,CLK00000182,IMP00049631,USR00020517,Desktop,https://bookhoarder.com/deals,0.9509
183,CAMP00000005,CH00000015,2022-08-23 07:10:21,clk00000183,IMP00021866,USR00060858,Tablet,https://bookhoarder.com/home,0.7283
184,CAMP00000010,CH00000012,2022-09-22 15:09:08,CLK00000184,IMP00045362,USR00090198,Mobile,https://bookhoarder.com/bestsellers,1.6839
185,CAMP00000011,CH00000009,2021-01-09 14:56:18,CLK00000185,IMP00054954,USR00122238,Mobile,https://bookhoarder.com/home,1.2541
186,CAMP00000009,CH00000002,2021-10-14 03:29:56,CLK00000186,IMP00043928,USR00060429,Desktop,https://bookhoarder.com/bestsellers,2.4796
187,CAMP00000015,CH00000007,2021-04-13 17:35:11,CLK  00000187,IMP00073006,USR00067662,Tablet,https://bookhoarder.com/bestsellers,1.4573
188,CAMP00000002,CH00000003,2022-10-17 12:00:51,CLK00000188,IMP00009622,USR00121901,Mobile,https://bookhoarder.com/home,0.7266
