order_key,order_id,customer_id,order_timestamp,order_status,order_channel,store_id,subtotal,discount_amount,shipping_cost,tax_amount,total_amount,payment_method,shipping_method,shipping_address_line1,shipping_address_line2,shipping_city,shipping_postal_code,shipping_country,promo_code,discount_percent,first_purchase_flag,gift_order_flag
18,ORD00000018,CUST00048433,2024-04-18 04:43:27,Completed,Online,,111.25,0.0,0.49,8.9,120.64,Credit Card,Standard,,,,,,,0,0,0
19,ORD00000019,CUST00036290,2025-01-08 03:21:33,  COMPLETED,Online,,184.46,0.0,1.92,14.76,201.14,Debit Card,Standard,,,,,,,0,0,0
20,ORD00000020,CUST00021594,2023-03-27 23:57:24,  Completed,Online,,35.92,0.0,12.49,2.87,51.28,Debit Card,Express,,,,,,,0,0,0
21,ORD00000021,CUST00037409,2022-04-18 00:42:42,Completed,Online,,174.92,0.0,10.87,13.99,199.78,Credit Card,Express,,,,,,,0,0,0
22,ORD00000022,CUST00007730,2023-04-13 00:56:28,Completed,Online,,21.05,0.0,5.14,1.68,27.87,PAYPAL,Express  ,,,,,,,0,0,0
23,ORD00000023,CUST00010727,2024-03-02 01:27:09,Completed,Online,,192.35,0.0,10.96,15.39,218.7,Credit Card,Express,,,,,,,0,0,0
24,ORD00000024,CUST00011082,2023-09-20 11:55:07,Completed,Online,,,0.0,2.82,11.3,155.36,Credit Card,Express,,,,,,,0,0,0
25,ORD00000025,CUST00006013,2024-12-31 02:22:47,Completed,Online,,149.13,0.0,7.21,11.93,168.27,credit card,Standard,,,,,,,0,0,0
26,ORD00000026,CUST00010707,2024-04-25 05:11:18,Completed,Online,,67.19,0.0,14.81,5.38,87.38,PayPal,Standard,,,,,,,0,0,0
27,ORD00000027,CUST00039270,2024-10-08 03:54:15,Completed,Online,,103.65,0.0,1.29,8.29,113.23000000000002,Credit Card,express,,,,,,,0,0,0
28,ORD00000028,CUST00034378,2024-01-01 01:33:44,Completed,Online,,121.23,0.0,7.79,9.7,138.72,Debit Card,Express,,,,,,,0,0,1
29,ORD00000029,CUST00029411,2024-08-04 13:19:38,Completed,Online  ,,170.89,0.0,11.42,13.67,195.97999999999996,Credit Card  ,Standard  ,,,,,,,0,0,0
30,ORD00000030,CUST00008167,2022-07-17 00:43:06,Completed,Online,,198.56,0.0,1.68,15.88,216.12,PayPal,Standard,,,,,,,0,0,0
31,ORD00000031,CUST00017607,2024-09-13 19:41:53,  Completed,Online,,78.86,0.0,9.04,6.31,94.21000000000001,Debit Card,standard,,,,,,,0,0,0
32,ORD00000032,CUST00042298,2024-08-16 05:30:01,Completed,Online,,63.83,0.0,9.92,5.11,78.86,Credit Card,Express,,,,,,,0,0,1
33,ORD00000033,CUST00004898,2024-04-14 20:41:25,Completed,online,,182.54,0.0,9.15,14.6,206.29,Credit Card,Standard,,,,,,,0,0,0
34,ORD00000034,CUST00010430,2023-04-27 18:48:43,  Completed,Online,,50.84,0.0,13.15,4.07,68.06,PayPal,Express,,,,,,,0,0,0
35,ORD00000035,CUST00002039,2024-07-13 14:42:26,Completed,Online,,56.03,0.0,12.43,4.48,72.94000000000001,CREDIT CARD,Standard,,,,,,,0,0,1
36,ORD00000036,CUST00023343,2023-01-17 07:43:43,Completed,  Online,,73.83,0.0,10.46,5.91,90.19999999999999,PayPal,Express,,,,,,,0,0,0
37,ORD00000037,CUST00014889,2023-08-17 14:31:28,Completed,Online,,21.6,0.0,6.46,1.73,29.790000000000003,Debit Card,EXPRESS,,,,,,,0,0,0
38,ORD00000038,CUST00008982,2024-04-29 15:33:53,Completed,Online,,158.29,0.0,12.58,12.66,183.53,Credit Card,Express,,,,,,,0,0,1
39,ORD00000039,CUST00049133,2023-12-14 06:12:06,Completed,  Online,,170.96,17.1,11.6,12.31,177.77,Debit Card,Express,,,,,,SAVE10,10,0,0
40,ORD00000040,CUST00015759,2024-09-14 01:36:16,Completed  ,Online,,184.22,0.0,10.24,14.74,209.20000000000002,Credit Card,standard,,,,,,,0,0,0
41,ORD00000041,CUST00041928,2024-09-01 10:01:32,Completed,Online,,93.23,0.0,11.97,7.46,112.66,Debit Card,Standard,,,,,,,0,0,0
42,ORD00000042,CUST00033515,2022-10-21 13:33:21,Completed,Online,,121.81,0.0,3.85,9.74,135.4,Credit Card,Standard,,,,,,,0,0,0
43,ORD00000043,CUST00002879,2023-10-31 01:17:10,Completed,Online,,,0.0,8.21,9.15,131.71,Credit Card,Express,,,,,,,0,0,0
44,ORD00000044,CUST00004077,2022-07-19 09:28:59,COMPLETED,Online,,42.87,0.0,2.49,3.43,48.79,PayPal,STANDARD,,,,,,,0,0,0
45,ORD00000045,CUST00008276,2021-05-09 12:39:54,Completed,Online,,76.58,0.0,7.3,6.13,90.00999999999999,PayPal,Standard,,,,,,,0,0,0
46,ORD00000046,CUST00015323,2024-07-21 06:40:22,Completed,Online,,48.97,0.0,9.11,3.92,62.0,Debit Card,Express,,,,,,,0,0,0
47,ORD00000047,CUST00003788,2023-11-29 15:59:11,Completed,Online,,38.91,0.0,3.51,3.11,45.529999999999994,Debit Card,Standard,,,,,,,0,0,1
48,ORD00000048,CUST00017028,2021-09-22 02:15:04,Completed,Online,,30.25,0.0,6.77,2.42,39.44,Credit Card,  Express,,,,,,,0,0,0
49,ORD00000049,CUST00020512,2021-11-03 11:34:05,Completed,Online,,43.65,0.0,11.66,3.49,58.800000000000004,Debit Card,Standard,,,,,,,0,0,0
50,ORD00000050,CUST00046447,2024-12-05 12:08:07,Completed,Online,,65.4,0.0,10.86,5.23,81.49000000000001,Credit Card,Express,,,,,,,0,0,0
51,ORD00000051,CUST00049305,2024-07-30 04:27:56,Completed,Online,,93.37,0.0,9.01,7.47,109.85000000000001,Debit Card,Express,,,,,,,0,0,0
52,ORD00000052,CUST00045648,2023-11-11 04:56:01,Completed,Online,,165.55,24.83,6.53,11.26,158.51000000000002,Credit Card,Standard,,,,,,SAVE15,15,0,0
53,ORD00000053,CUST00026271,2022-12-04 21:34:31,Completed,Online,,25.54,0.0,5.77,2.04,33.35,PayPal,Standard,,,,,,,0,0,0
54,ORD00000054,CUST00028153,2025-01-02 13:54:23,Completed,Online,,131.4,0.0,10.71,10.51,152.62,Credit Card,STANDARD,,,,,,,0,0,0
55,ORD00000055,CUST00016915,2024-06-16 17:43:32,Completed,ONLINE,,68.59,0.0,6.35,5.49,80.42999999999999,PayPal,Express,,,,,,,0,0,1
56,ORD00000056,CUST00033794,2023-12-11 16:27:45,Completed,Online,,150.55,0.0,13.56,12.04,176.15,Debit Card,Express,,,,,,,0,0,0
57,ORD00000057,CUST00025666,2024-06-23 13:57:44,Completed,Online,,31.74,0.0,13.78,2.54,48.059999999999995,DEBIT CARD,Express,,,,,,,0,0,0
58,ORD00000058,CUST00006128,2024-10-12 17:01:53,Completed,Online,,30.97,0.0,9.5,2.48,42.949999999999996,PayPal,Standard,,,,,,,0,0,0
59,ORD00000059,CUST00023822,2022-08-26 11:50:45,Completed,Online,,81.42,0.0,8.47,6.51,96.4,Debit Card,Standard,,,,,,,0,0,0
60,ORD00000060,CUST00044869,2024-09-20 23:59:06,Completed,Online,,157.21,0.0,5.31,12.58,175.10000000000002,Debit Card,Standard,,,,,,,0,0,0
61,ORD00000061,CUST00045442,2024-03-20 09:51:36,Completed,Online,,149.24,0.0,2.24,11.94,163.42000000000002,Debit Card,Express,,,,,,,0,0,0
62,ORD00000062,CUST00019248,2024-08-12 03:47:49,Completed,Online,,,0.0,13.62,6.24,97.89,PayPal,Express,,,,,,,0,0,0
63,ORD00000063,CUST00040106,2024-03-29 14:42:32,Completed,Online,,181.34,0.0,10.31,14.51,206.16,Debit Card,Standard,,,,,,,0,0,0
64,ORD00000064,CUST00015536,2024-05-13 14:01:07,Completed,online,,69.15,0.0,11.86,5.53,86.54,PayPal,Standard,,,,,,,0,0,0
65,ORD00000065,CUST00026970,2023-09-04 10:24:57,Completed,Online,,128.05,0.0,4.4,10.24,142.69000000000003,Credit Card,Standard,,,,,,,0,0,0
66,ORD00000066,CUST00013363,2024-12-09 12:43:05,Completed,Online  ,,182.52,0.0,0.37,14.6,197.49,PAYPAL,Standard,,,,,,,0,0,0
67,ORD00000067,CUST00008282,2022-03-31 09:06:45,Completed,Online,,68.26,0.0,6.93,5.46,80.64999999999999,PayPal,STANDARD,,,,,,,0,0,0
68,ORD00000068,CUST00035093,2023-02-22 18:25:49,Completed,Online,,146.9,0.0,7.28,11.75,165.93,PayPal,Express,,,,,,,0,0,0
69,ORD00000069,CUST00024865,2024-11-10 14:28:41,Completed,Online  ,,170.94,0.0,5.67,13.68,190.29,Credit Card,Express,,,,,,,0,0,0
70,ORD00000070,CUST00000875,2023-12-05 06:33:56,COMPLETED,Online,,83.55,0.0,6.55,6.68,96.78,credit card,Express,,,,,,,0,0,0
71,ORD00000071,CUST00048885,2024-05-20 18:44:50,Completed,Online,,,0.0,9.65,1.79,33.86,PayPal,Standard,,,,,,,0,0,0
72,ORD00000072,CUST00000863,2023-08-22 16:54:45,Completed,Online,,114.52,0.0,5.53,9.16,129.21,PayPal,Express,,,,,,,0,0,0
73,ORD00000073,CUST00006328,2024-01-20 23:40:01,Completed,Online,,115.31,0.0,3.43,9.22,127.96000000000001,Credit Card,Standard,,,,,,,0,0,0
74,ORD00000074,CUST00002437,2022-06-10 17:04:46,  Completed,Online,,153.29,0.0,9.23,12.26,174.77999999999997,Credit Card,standard,,,,,,,0,0,0
75,ORD00000075,CUST00005926,2024-04-07 17:28:47,Completed,Online,,112.51,0.0,7.71,9.0,129.22,PayPal,Express,,,,,,,0,0,0
76,ORD00000076,CUST00037209,2024-08-23 08:52:52,Completed,Online,,,0.0,11.79,8.91,132.12,PayPal,Standard,,,,,,,0,0,0
77,ORD00000077,CUST00020764,2022-12-13 20:07:47,Completed,Online,,54.81,5.48,2.27,3.95,55.550000000000004,Credit Card,Standard,,,,,,SAVE10,10,0,0
78,ORD00000078,CUST00017430,2024-12-08 20:44:05,Completed,Online,,116.71,0.0,4.5,9.34,130.54999999999998,Debit Card,Express  ,,,,,,,0,0,0
79,ORD00000079,CUST00039317,2023-02-18 11:23:53,Completed,Online,,194.38,0.0,3.93,15.55,213.86,PayPal,Standard,,,,,,,0,0,0
80,ORD00000080,CUST00029875,2024-12-28 20:55:50,Completed,Online,,41.94,0.0,10.72,3.36,56.019999999999996,Credit Card,Standard,,,,,,,0,0,0
81,ORD00000081,CUST00042558,2024-04-10 01:51:24,COMPLETED,Online,,160.33,0.0,9.22,12.83,182.38000000000002,Debit Card,Standard,,,,,,,0,0,0
82,ORD00000082,CUST00029785,2023-09-16 13:32:22,Completed,Online,,36.7,0.0,8.27,2.94,47.91,Debit Card,Standard,,,,,,,0,0,0
83,ORD00000083,CUST00012432,2023-05-13 06:32:21,Completed,Online,,106.46,0.0,7.29,8.52,122.27,PayPal,Express,,,,,,,0,0,0
84,ORD00000084,CUST00044480,2023-12-02 05:56:27,  Completed,Online,,,0.0,7.49,2.84,45.78,Debit Card,Standard,,,,,,,0,0,0
85,ORD00000085,CUST00046022,2023-02-06 20:50:55,Completed  ,Online,,87.89,0.0,1.38,7.03,96.3,Credit Card,Standard,,,,,,,0,0,1
86,ORD00000086,CUST00041077,2023-06-06 12:10:04,Completed  ,Online,,178.94,0.0,14.0,14.32,207.26,PayPal,Standard,,,,,,,0,0,0
87,ORD00000087,CUST00035249,2023-01-29 20:51:18,Completed,Online  ,,182.54,0.0,3.48,14.6,200.61999999999998,PayPal  ,standard,,,,,,,0,0,0
88,ORD00000088,CUST00000328,2024-11-13 09:22:02,Completed,Online,,22.12,0.0,6.08,1.77,29.970000000000002,PayPal,Express,,,,,,,0,0,0
89,ORD00000089,CUST00020606,2024-03-20 03:18:03,completed,Online,,138.87,0.0,10.12,11.11,160.10000000000002,PayPal,Standard,,,,,,,0,0,0
90,ORD00000090,CUST00032075,2024-03-01 16:37:11,Completed,Online,,91.85,0.0,0.68,7.35,99.88,Credit Card,Express,,,,,,,0,0,0
91,ORD00000091,CUST00010334,2023-12-09 01:56:10,Completed,Online,,,0.0,7.67,2.85,46.160000000000004,Debit Card,Express,,,,,,,0,0,0
92,ORD00000092,CUST00032521,2024-10-14 21:26:26,Completed,Online,,186.25,0.0,13.71,14.9,214.86,Credit Card,Express,,,,,,,0,0,0
93,ORD00000093,CUST00010555,2024-02-02 15:20:28,Completed,Online,,176.31,0.0,6.58,14.1,196.99,Debit Card,Standard,,,,,,,0,0,0
94,ORD00000094,CUST00030572,2024-07-30 15:06:27,COMPLETED,Online,,71.58,0.0,2.01,5.73,79.32000000000001,Credit Card,Standard,,,,,,,0,0,0
95,ORD00000095,CUST00006114,2024-10-28 12:22:07,Completed,Online,,26.22,0.0,11.33,2.1,39.65,Debit Card  ,Standard,,,,,,,0,0,0
96,ORD00000096,CUST00008106,2024-09-04 10:50:48,Completed,ONLINE,,76.66,0.0,14.59,6.13,97.38,Debit Card,Express,,,,,,,0,0,0
97,ORD00000097,CUST00020867,2023-01-05 05:27:23,Completed,  Online,,123.79,0.0,7.57,9.9,141.26000000000002,  Credit Card,Standard,,,,,,,0,0,0
98,ORD00000098,CUST00036000,2024-08-03 15:10:25,COMPLETED  ,Online,,167.83,0.0,5.74,13.43,187.00000000000003,Debit Card,Express,,,,,,,0,0,0
99,ORD00000099,CUST00026215,2024-02-07 15:00:57,Completed,Online,,117.73,0.0,5.1,9.42,132.25,PayPal,Express,,,,,,,0,0,0
100,ORD00000100,CUST00022249,2025-01-07 03:25:44,Completed,Online,,129.19,0.0,11.36,10.34,150.89000000000001,PayPal,Express,,,,,,,0,0,0
101,ORD00000101,CUST00038300,2023-07-04 00:23:12,Completed,Online,,166.78,0.0,12.51,13.34,192.63,Debit Card,  Express,,,,,,,0,0,0
102,ORD00000102,CUST00030843,2022-08-08 06:25:26,Completed,Online,,85.97,0.0,6.34,6.88,99.19,Debit Card,Express,,,,,,,0,0,0
103,ORD00000103,CUST00028648,2024-11-02 08:25:16,Completed,Online,,47.02,0.0,11.81,3.76,62.59,PayPal,Express,,,,,,,0,0,0
104,ORD00000104,CUST00011891,2024-01-18 23:40:23,Completed,Online,,179.94,0.0,13.06,14.4,207.4,Credit Card,Express,,,,,,,0,0,0
105,ORD00000105,CUST00027355,2022-10-16 15:48:57,Completed,ONLINE,,148.56,0.0,4.7,11.88,165.14,PayPal,Standard,,,,,,,0,0,0
106,ORD00000106,CUST00025912,2023-09-17 14:19:28,Completed,Online,,147.21,0.0,12.19,11.78,171.18,  Credit Card,Express,,,,,,,0,0,0
107,ORD00000107,CUST00025245,2023-12-12 20:24:18,Completed  ,Online,,198.46,0.0,4.96,15.88,219.3,Debit Card,Standard,,,,,,,0,0,0
108,ORD00000108,CUST00033621,2023-05-17 23:04:31,Completed,Online,,27.72,0.0,1.24,2.22,31.179999999999996,Credit Card,Standard,,,,,,,0,0,0
109,ORD00000109,CUST00043522,2023-12-15 17:09:49,Completed,Online,,191.9,19.19,2.3,13.82,188.83,Credit Card,Standard,,,,,,SAVE10,10,0,0
110,ORD00000110,CUST00009794,2024-01-08 01:41:55,Completed,Online,,,0.0,0.33,11.11,150.32,credit card,Express,,,,,,,0,0,0
111,ORD00000111,CUST00023454,2021-09-30 17:11:44,Completed,Online,,62.92,0.0,10.81,5.03,78.76,Debit Card,Express,,,,,,,0,0,0
112,ORD00000112,CUST00041753,2023-06-01 21:56:18,Completed,Online  ,,159.59,0.0,7.94,12.77,180.3,PayPal,Express,,,,,,,0,0,0
113,ORD00000113,CUST00010063,2024-01-23 14:07:01,Completed,Online,,40.85,0.0,2.12,3.27,46.24,Credit Card,Express,,,,,,,0,0,0
114,ORD00000114,CUST00007502,2023-03-02 03:04:31,Completed,Online,,114.98,0.0,5.77,9.2,129.95,Credit Card,Standard  ,,,,,,,0,0,0
115,ORD00000115,CUST00037325,2021-10-22 18:18:18,Completed,Online,,64.63,0.0,4.82,5.17,74.61999999999999,Credit Card,Express,,,,,,,0,0,0
116,ORD00000116,CUST00007613,2022-05-10 00:10:50,Completed,Online,,41.55,0.0,14.02,3.32,58.88999999999999,PayPal,Standard,,,,,,,0,0,0
117,ORD00000117,CUST00017597,2024-12-08 14:38:31,Completed,Online,,190.01,0.0,0.23,15.2,205.43999999999997,PayPal,Standard,,,,,,,0,0,0
118,ORD00000118,CUST00029712,2024-08-21 18:31:45,Completed,Online,,128.77,0.0,14.42,10.3,153.49,PAYPAL,EXPRESS,,,,,,,0,0,0
119,ORD00000119,CUST00031065,2024-06-22 19:56:46,Completed  ,Online,,40.13,0.0,0.65,3.21,43.99,PayPal,EXPRESS,,,,,,,0,0,0
120,ORD00000120,CUST00015420,2024-05-21 15:06:31,Completed,Online,,162.78,0.0,10.42,13.02,186.22,Credit Card,Standard,,,,,,,0,0,0
121,ORD00000121,CUST00000064,2023-03-28 08:25:14,Completed,Online,,91.81,0.0,7.13,7.34,106.28,PayPal,Standard,,,,,,,0,0,0
122,ORD00000122,CUST00046429,2024-02-27 12:02:07,Completed,Online  ,,34.75,0.0,8.71,2.78,46.24,Credit Card,Standard,,,,,,,0,0,1
123,ORD00000123,CUST00045061,2024-08-18 03:34:03,Completed,Online,,146.69,0.0,3.97,11.74,162.4,Debit Card,Express,,,,,,,0,0,0
124,ORD00000124,CUST00027662,2024-05-31 19:43:51,Completed,Online,,30.46,0.0,14.19,2.44,47.089999999999996,Credit Card,Express,,,,,,,0,0,0
125,ORD00000125,CUST00049913,2024-12-16 14:22:09,Completed,Online,,42.87,0.0,2.61,3.43,48.91,PayPal,Standard,,,,,,,0,0,0
126,ORD00000126,CUST00018044,2023-08-07 08:15:31,Completed,Online,,159.61,0.0,9.07,12.77,181.45000000000002,PayPal,Standard,,,,,,,0,0,0
127,ORD00000127,CUST00012352,2024-12-14 05:59:23,Completed,Online,,72.57,0.0,2.54,5.81,80.92,Credit Card,Standard,,,,,,,0,0,0
128,ORD00000128,CUST00042768,2024-11-10 21:00:30,Completed,Online,,191.36,0.0,11.77,15.31,218.44000000000003,PAYPAL,Standard,,,,,,,0,0,0
129,ORD00000129,CUST00026708,2024-09-20 05:53:03,Completed,Online,,182.99,0.0,4.02,14.64,201.65000000000003,PayPal,Express,,,,,,,0,0,0
130,ORD00000130,CUST00012002,2023-03-27 22:44:30,Completed,Online,,108.98,0.0,13.79,8.72,131.49,PayPal  ,Standard,,,,,,,0,0,0
131,ORD00000131,CUST00023127,2023-10-12 07:12:21,Completed,Online,,167.02,0.0,14.69,13.36,195.07,Debit Card,Express,,,,,,,0,0,0
132,ORD00000132,CUST00031609,2023-09-10 16:36:45,Completed,Online,,,0.0,9.13,11.34,162.21,Credit Card,standard,,,,,,,0,0,1
133,ORD00000133,CUST00040229,2022-05-01 00:10:52,  Completed,Online,,106.62,0.0,7.82,8.53,122.97,Credit Card,Express,,,,,,,0,0,0
134,ORD00000134,CUST00007096,2024-07-31 19:45:05,Completed,Online,,173.48,0.0,9.9,13.88,197.26,PayPal,Express,,,,,,,0,0,0
135,ORD00000135,CUST00038975,2025-01-13 06:36:02,Completed,Online,,87.31,0.0,0.81,6.98,95.10000000000001,PayPal,Standard,,,,,,,0,0,0
136,ORD00000136,CUST00005567,2024-05-05 03:29:56,Completed,Online,,93.64,0.0,6.5,7.49,107.63,Credit Card  ,Express,,,,,,,0,0,0
137,ORD00000137,CUST00027538,2024-04-15 03:24:27,Completed,Online,,86.6,0.0,14.0,6.93,107.53,debit card,Standard,,,,,,,0,0,0
138,ORD00000138,CUST00009245,2024-04-19 05:09:18,Completed,Online,,147.14,0.0,3.78,11.77,162.69,Debit Card,Standard,,,,,,,0,0,0
139,ORD00000139,CUST00000992,2024-04-27 19:35:52,Completed,Online,,107.7,0.0,12.97,8.62,129.29,Debit Card,Standard,,,,,,,0,0,0
140,ORD00000140,CUST00009623,2023-08-17 19:32:48,Completed,Online,,,0.0,4.63,6.52,92.67999999999999,PayPal,Standard,,,,,,,0,0,0
141,ORD00000141,CUST00040359,2023-07-01 13:34:09,Completed,Online,,109.31,0.0,13.68,8.74,131.73000000000002,Credit Card,Standard,,,,,,,0,0,0
142,ORD00000142,CUST00019683,2024-01-28 00:50:40,Completed,Online,,64.61,0.0,2.88,5.17,72.66,Debit Card,Express,,,,,,,0,0,0
143,ORD00000143,CUST00029028,2023-03-21 18:45:59,Completed,Online,,,0.0,10.85,12.33,177.25,Credit Card,Express,,,,,,,0,0,0
144,ORD00000144,CUST00004186,2022-01-30 10:39:09,Completed,ONLINE,,127.9,0.0,13.18,10.23,151.31,PayPal,Standard  ,,,,,,,0,0,0
145,ORD00000145,CUST00001540,2023-01-06 23:45:10,Completed,Online,,196.92,0.0,4.25,15.75,216.92,Debit Card,Express,,,,,,,0,0,0
146,ORD00000146,CUST00048264,2024-04-09 01:15:03,Completed,Online,,38.33,0.0,10.55,3.07,51.949999999999996,Credit Card,Standard,,,,,,,0,0,0
147,ORD00000147,CUST00018108,2024-03-01 10:00:12,Completed,Online  ,,92.41,0.0,6.99,7.39,106.78999999999999,Debit Card,Express,,,,,,,0,0,0
148,ORD00000148,CUST00010556,2024-12-09 18:39:32,Completed,ONLINE,,173.67,0.0,0.2,13.89,187.76,Credit Card,Standard,,,,,,,0,0,0
149,ORD00000149,CUST00032705,2022-07-27 00:55:19,  Completed,Online,,192.68,0.0,11.55,15.41,219.64000000000001,Debit Card,Standard,,,,,,,0,0,0
150,ORD00000150,CUST00022894,2021-10-26 22:26:02,completed,  Online,,47.8,0.0,2.78,3.82,54.4,Paypal,Standard,,,,,,,0,0,0
151,ORD00000151,CUST00047756,2022-11-26 19:46:50,Completed,Online,,40.82,0.0,9.76,3.27,53.85,PayPal,Express,,,,,,,0,0,1
152,ORD00000152,CUST00035843,2024-06-07 02:40:45,Completed,online,,99.59,0.0,9.02,7.97,116.58,PayPal,Express,,,,,,,0,0,0
153,ORD00000153,CUST00011232,2022-08-02 13:14:06,completed,Online,,196.05,0.0,12.77,15.68,224.50000000000003,Credit Card,Express,,,,,,,0,0,0
154,ORD00000154,CUST00047730,2024-08-06 16:23:49,completed,Online,,105.83,0.0,7.17,8.47,121.47,PayPal,Standard,,,,,,,0,0,0
155,ORD00000155,CUST00049614,2024-05-10 03:29:47,Completed,  Online,,187.9,0.0,12.17,15.03,215.1,PayPal,Express,,,,,,,0,0,1
156,ORD00000156,CUST00043773,2024-10-29 02:09:14,completed,Online,,65.21,0.0,4.98,5.22,75.41,Debit Card,Standard,,,,,,,0,0,0
157,ORD00000157,CUST00044893,2023-05-12 15:53:27,Completed,Online,,62.75,0.0,5.31,5.02,73.08,Credit Card,Express,,,,,,,0,0,0
158,ORD00000158,CUST00034938,2023-12-13 07:31:16,Completed,Online,,107.94,0.0,14.65,8.64,131.23000000000002,Credit Card,  Standard,,,,,,,0,0,0
159,ORD00000159,CUST00046501,2025-01-12 04:19:29,Completed,Online,,179.07,0.0,0.89,14.33,194.29,PayPal,Standard,,,,,,,0,0,0
160,ORD00000160,CUST00024727,2024-03-01 10:10:41,COMPLETED,Online,,80.0,0.0,5.51,6.4,91.91000000000001,PayPal,STANDARD,,,,,,,0,0,0
161,ORD00000161,CUST00009020,2024-06-23 19:56:28,Completed,Online,,131.2,0.0,13.26,10.5,154.95999999999998,Debit Card,Express,,,,,,,0,0,0
162,ORD00000162,CUST00002956,2024-06-25 19:03:01,Completed,Online,,105.84,0.0,3.67,8.47,117.98,Debit Card,Standard  ,,,,,,,0,0,0
163,ORD00000163,CUST00014443,2024-03-22 21:59:16,Completed,Online,,113.35,0.0,13.3,9.07,135.72,Debit Card,Standard  ,,,,,,,0,0,0
164,ORD00000164,CUST00011068,2023-05-20 16:05:09,Completed,Online,,,0.0,13.93,3.07,55.39,credit card,standard,,,,,,,0,0,0
165,ORD00000165,CUST00017476,2023-08-13 08:20:40,Completed,Online,,55.74,0.0,1.6,4.46,61.800000000000004,Credit Card,Express,,,,,,,0,0,0
166,ORD00000166,CUST00017168,2024-03-15 12:46:09,Completed  ,Online,,41.54,0.0,7.52,3.32,52.38,PayPal,Express,,,,,,,0,0,0
167,ORD00000167,CUST00037767,2024-02-04 04:22:26,Completed,Online,,197.03,0.0,12.84,15.76,225.63,Credit Card,Express,,,,,,,0,0,0
168,ORD00000168,CUST00039442,2023-10-13 14:20:10,Completed,Online,,163.78,0.0,9.14,13.1,186.02,Debit Card,standard,,,,,,,0,0,0
169,ORD00000169,CUST00047004,2024-09-23 19:12:57,Completed,Online,,176.08,0.0,8.08,14.09,198.25000000000003,Debit Card,Standard,,,,,,,0,0,0
170,ORD00000170,CUST00027281,2024-12-03 15:58:37,COMPLETED,Online,,121.73,0.0,11.69,9.74,143.16000000000003,PayPal,express,,,,,,,0,0,0
